KEEP	status	first_author	year	host_phylum	host_class	host_order	host_family	host_genus	host_common_name	n_host_species	host_species_list	country	continent	country_source	body_sites	n_shotgun_gut_samples	library_strategy_mix		fulltext_link	doi	journal	title	shotgun_decision	isolate_assessment	manual_note		host_species	accessions	fulltext_link	study_uid	Sam_approve	reason	ENA_variable?	
Y	keep	Aizpurua O	2026	Chordata						22	Podarcis muralis(161); Sciurus vulgaris(123); Sciurus carolinensis(118); Lissotriton helveticus(97); Psittacula echo(61); Podarcis gaigeae(61)	Spain	Europe	ena	feces(918); oral(13)	940	WGS:940		https://doi.org/10.1128/spectrum.03691-25	10.1128/spectrum.03691-25	Microbiol Spectr	Grass supplementation to a pellet-based diet fails to enrich gut microbiomes with wild-like functions in captive-bred hares.	KEEP_has_WGS	community_metagenome			Lepus europaeus	PRJEB76898	https://doi.org/10.1128/spectrum.03691-25	AizpuruaO2026_113	Yes	has wild rabbits	wild_vs_captive	
Y	keep	Rabelo-Fernandez	2017							0		Puerto Rico	North America	ena	gut(1)	1	WGS:1		https://doi.org/10.1016/j.dib.2017.11.043	10.1016/j.dib.2017.11.043	Data in Brief		KEEP_has_WGS	community_metagenome				SAMN07420447	https://doi.org/10.1016/j.dib.2017.11.043	RabeloFernandez2017_153	No	did e coli cloning		
Y	keep	Youngblut	2021	Chordata						181	Anser anser(14); Cervus elaphus(12); Canis lupus(10); Sus scrofa(9); Giraffa camelopardalis(8); Equus hemionus(8)	Austria	Europe	ena	feces(411); gut(61)	283	WGS:289; AMPLICON:185		https://doi.org/10.1038/s41564-021-00980-2	10.1038/s41564-021-00980-2	Nature Microbiology		KEEP_has_WGS	community_metagenome				PRJEB38078; PRJEB40672	https://doi.org/10.1038/s41564-021-00980-2	Youngblut2021_134	No	Use Youngblut 2020 PRJEB38078 instead		
Y	keep	Zou S	2023	Chordata				Rana	Old World monkeys	1	Rana dybowskii(5)	China	Asia	ena	gut(145); feces(6)	30	AMPLICON:151		https://doi.org/10.3390/ani13193083	10.3390/ani13193083	Animals (Basel)	Human Disturbance Increases Health Risks to Golden Snub-Nosed Monkeys and the Transfer Risk of Pathogenic Antibiotic-Resistant Bacteria from Golden Snub-Nosed Monkeys to Humans.	KEEP_has_WGS	community_metagenome	community_metagenome		Rhinopithecus roxellana	PRJNA947971	https://doi.org/10.3390/ani13193083	ZouS2023_133	Yes	has wild monkey	wild_vs_captive AND 16S_vs_shotgun	
Y	keep	Collins FWJ	2021	Chordata	Actinopterygii				ray-finned fishes	0					gut(47)	47	WGS:48		https://doi.org/10.1080/19490976.2021.1921924	10.1080/19490976.2021.1921924	Gut Microbes	The microbiome of deep-sea fish reveals new microbial species and a sparsity of antibiotic resistance genes.	KEEP_has_WGS	community_metagenome			long list, See claude	PRJEB38343	https://doi.org/10.1080/19490976.2021.1921924	CollinsFWJ2021_024	Yes	wild deep sea fish	fecal vs seawater and claude has species list matching to sample alias	
Y	keep	Kale V	2025	Chordata	Actinopterygii					2	 Salmo salar(1429)	Spain	Europe	ena	cecum(1552); gut(1429); small_intestine(650)	2763	WGS:2763; RNA-Seq:868		https://doi.org/10.1186/s42523-025-00453-5	10.1186/s42523-025-00453-5	Anim Microbiome	A bacterial and viral genome catalogue from Atlantic salmon highlights diverse gut microbiome compositions at pre- and post-smolt life stages.	KEEP_has_WGS	community_metagenome			Salmo salar	PRJEB41657	https://doi.org/10.1186/s42523-025-00453-5	KaleV2025_007	Yes	CAPTIVE but many samples, salmon gut	need post-smolt samples	
Y	keep	Oliver A	2023	Chordata	Actinopterygii	Centrarchiformes	Kyphosidae	Kyphosus		3	Kyphosus vaigiensis(24); Kyphosus hawaiiensis(7); Kyphosus cinerascens(6)	China	Asia	ena	gut(47)	32	AMPLICON:151; WGS:26		https://doi.org/10.1101/2023.11.28.568905	10.1101/2023.11.28.568905	bioRxiv	Enrichable consortia of microbial symbionts degrade macroalgal polysaccharides in Kyphosus fish.	KEEP_has_WGS	community_metagenome			Kyphosus cinerascens, Kyphosus hawaiiensis	PRJNA1023379	https://doi.org/10.1101/2023.11.28.568905	OliverA2023_054	Yes	bioreactor but high quality, herbivore fish	claude has host delineation for sample aliases	
Y	keep	Rogers AB	2025	Chordata	Actinopterygii					2	Gallus gallus(2202); Salmo salar(1429)	Spain	Europe	ena	cecum(1552); gut(1429); small_intestine(650)	2763	WGS:2763; RNA-Seq:868		https://doi.org/10.1093/database/baae112	10.1093/database/baae112	Database (Oxford)	HoloFood Data Portal: holo-omic datasets for analysing host-microbiota interactions in animal production.	KEEP_has_WGS	community_metagenome				PRJEB43192	https://doi.org/10.1093/database/baae112	RogersAB2025_005	No	Farmed		
Y	keep	An X	2025	Chordata	Actinopterygii	Cypriniformes	Xenocyprididae	Ctenopharyngodon	grass carp	1	Ctenopharyngodon idella(1065)				feces(1065)	20	AMPLICON:1045; WGS:20		https://doi.org/10.1007/s44307-025-00090-8	10.1007/s44307-025-00090-8	Adv Biotechnol (Singap)	Dietary macroalgae enhances amino acid metabolism via intestinal Shewanella in grass carp (Ctenopharyngodon idella).	KEEP_has_WGS	community_metagenome			Ctenopharyngodon idella	PRJNA1293113	https://doi.org/10.1007/s44307-025-00090-8	AnX2025_050	Yes	Farmed but grass carp	shotgun_vs_16S	
Y	keep	Kayani MUR	2022	Chordata	Actinopterygii	Cypriniformes	Danionidae	Danio	zebrafish	1	Danio rerio(5)	China	Asia	ena	feces(5)	5	WGS:5		https://doi.org/10.3389/fcimb.2022.910766	10.3389/fcimb.2022.910766	Front Cell Infect Microbiol	Genome-Resolved Characterization of Structure and Potential Functions of the Zebrafish Stool Microbiome.	KEEP_has_WGS	community_metagenome			Danio rerio	PRJNA806371	https://doi.org/10.3389/fcimb.2022.910766	KayaniMUR2022_042	Yes	lab but a "wild-type" zebrafish		
Y	keep	Thormar EA	2024	Chordata	Actinopterygii	Cypriniformes	Danionidae	Danio	zebrafish	1	Danio rerio(16)	Denmark	Europe	ena	gut(10); feces(3)	15	AMPLICON:16; WGS:15		https://doi.org/10.1002/ece3.70302	10.1002/ece3.70302	Ecol Evol	Sampling fish gut microbiota - A genome-resolved metagenomic approach.	KEEP_has_WGS	community_metagenome	Real accession from Data Availability = PRJEB71469 (16 WGS + 16 amplicon, Danio rerio). The earlier PRJNA543612 was a different/cited 16S project.		Danio rerio	PRJEB71469	https://doi.org/10.1002/ece3.70302	ThormarEA2024_008	Yes	lab zebrafish	gut vs water and wgs vs 16S	
Y	keep	Le Doujet T	2019	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Atlantic cod	1	Gadus morhua(6)	Norway	Europe	paper+ena	feces(6)	6	WGS:6		https://doi.org/10.1186/s40168-019-0681-y	10.1186/s40168-019-0681-y	Microbiome	Closely-related Photobacterium strains comprise the majority of bacteria in the gut of migrating Atlantic cod (Gadus morhua).	KEEP_has_WGS	community_metagenome			Gadus morhua	PRJEB27498	https://doi.org/10.1186/s40168-019-0681-y	LeDoujetT2019_079	Yes	wild cod		
