study_accession	host_species	host_tax_id	n_samples	library_strategy	library_source	body_site	country	data_source	pmid	paper_title	doi	journal	pub_year	classification_final	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species_taxonomy	llm_confidence	llm_body_site_signal	llm_evidence
PRJNA1211045	Bulinus sp.	3373980	15	WGS	METAGENOMIC		Tanzania: Zanzibar	pubmed_metagenom_b1	40833797	Freshwater snail faecal metagenomes reveal environmental reservoirs of antimicrobial resistance genes across two continents.	10.1099/mgen.0.001480	Microbial genomics	2025.0	YES	Metazoa	Mollusca	Gastropoda		Planorbidae	Bulinus	Bulinus sp.	high	explicit	Sample titles explicitly state 'feces metagenome' (e.g., 'Anisus feces metagenome Uk1'); library_strategy='WGS'; library_source='METAGENOMIC'; biome label='feces metagenome'.
PRJNA1210771	Euphausia superba	6819	22	WGS	METAGENOMIC		Antarctica	pubmed_metagenom_b1	40772734	Metabolic potentials of the gut microbes in Antarctic krill (Euphausia superba).	10.1128/msystems.00377-25	mSystems	2025.0	YES	Metazoa	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia superba	high	explicit	Isolation source(s): 'gut sample 1; gut sample 13; gut sample 14; gut sample 15; gut sample 2; gut sample 3; gut sample 4; gut sample 5'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title: 'Metabolic potentials of the gut microbes in Antarctic krill (Euphausia superba)'
PRJNA1084222	Mauremys reevesii	260615	20	OTHER	METAGENOMIC		China:Hangzhou 1	pubmed_metagenom_b1	40739184	Intestinal microbial dysbiosis under nitrite stress in juvenile three-keeled pond turtles, Mauremys reevesii.	10.1186/s12866-025-04198-8	BMC microbiology	2025.0	YES	Metazoa	Chordata		Testudines	Geoemydidae	Mauremys	Mauremys reevesii	high	explicit	Paper title: 'Intestinal microbial dysbiosis under nitrite stress in juvenile three-keeled pond turtles'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'intestinal microbial'; library_source: 'METAGENOMIC'; Host organism: Mauremys reevesii (animal)
PRJNA1148150	Mus musculus	10090	34	WGS	METAGENOMIC		USA	pubmed_metagenom_b1	40719501	Dietary impact on the gut resistome: western diet independently increases the prevalence of antibiotic resistance genes within the gut microbiota.	10.1128/spectrum.02766-24	Microbiology spectrum	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Paper title: 'Dietary impact on the gut resistome: western diet independently increases the prevalence of antibiotic resistance genes within the gut microbiota.' ENA study title: 'MIMS Environmental/Metagenome sample from mouse metagenome.' library_source: METAGENOMIC. library_strategy: WGS. Host organism: Mus musculus.
PRJEB89425			32	WGS	METAGENOMIC		Madagascar	pubmed_metagenom_b1	40709814	Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.	10.1093/ismejo/wraf136	The ISME journal	2025.0	YES								high	inferred	Paper title: 'Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.' Library_source: METAGENOMIC. Library_strategy: WGS. Host organism: lemur (Indri indri).
PRJNA399458	Indri indri		1	WGS	GENOMIC			pubmed_metagenom_b1	40709814	Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.	10.1093/ismejo/wraf136	The ISME journal	2025.0	YES								medium	inferred	Paper title states 'gut microbiome in the lemur Indri indri'; library_source='GENOMIC' with library_strategy='WGS' indicates shotgun sequencing of community DNA; body site (gut) is stated in title but NOT in structured metadata fields (Host body site, Isolation source both empty).
PRJNA1229795	Mus musculus	10090	62	WGS	METAGENOMIC		Hong Kong	pubmed_metagenom_b1	40691217	Theabrownin combined with zearalenone suppresses colitis-associated colorectal cancer by inhibiting PI3K/AKT pathway and enhancing microbial propionate production.	10.1038/s41598-025-11820-2	Scientific reports	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source(s): feces; Biome label(s): gut metagenome; library_strategy: WGS; library_source: METAGENOMIC; Host organism(s): Mus musculus
PRJNA1244851			36	WGS	METAGENOMIC			pubmed_metagenom_b1	40654714	Profiling Bile Acids in the Stools of Humans and Animal Models of Cystic Fibrosis.	10.1101/2025.05.08.651222	bioRxiv : the preprint server for biology	2025.0	YES								medium	inferred	Paper title: 'Profiling Bile Acids in the Stools of Humans and Animal Models of Cystic Fibrosis'; library_source: METAGENOMIC; library_strategy: WGS
PRJNA1209849			1	WGS	METAGENOMIC		China:jiangxi	pubmed_metagenom_b1	40643197	L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.	10.1111/acel.70166	Aging cell	2025.0	YES								high	explicit	Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; paper title explicitly studies Bifidobacterium pseudocatenulatum in mice with focus on gut microbiota effects on aging.
PRJNA949809	Coilia nasus		1	WGS	METAGENOMIC			pubmed_metagenom_b1	40563261	Characteristics of Intestinal Microbiota and Host Gene Regulation in Coilia nasus Responding to Stress.	10.3390/antiox14060626	Antioxidants (Basel, Switzerland)	2025.0	YES								medium	inferred	Paper title: 'Characteristics of Intestinal Microbiota and Host Gene Regulation in Coilia nasus Responding to Stress'; library_source: METAGENOMIC; library_strategy: WGS
PRJNA1225421	Homo sapiens	9606	210	WGS	METAGENOMIC		Ecuador	pubmed_metagenom_b1	40475154	Environmental Exposures and the Human Gut Resistome in Northwest Ecuador.	10.1101/2025.05.23.25327954	medRxiv : the preprint server for health sciences	2025.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	high	explicit	Isolation source: 'human feces'; Biome label: 'human gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1233886	Holothuria glaberrima	31192	4	WGS	METAGENOMIC		Puerto Rico: Pinones Beach	pubmed_metagenom_b1	40434086	Intestinal microbiome profile of the brown rock sea cucumber (Holothuria glaberrima) using ITS and 16S rDNA amplicons from direct mechanical, enzymatic, and chemical metagenomic extraction.	10.1128/mra.00293-25	Microbiology resource announcements	2025.0	YES	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Holothuriidae	Holothuria	Holothuria glaberrima	high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source(s): 'H. glaberrima eviscerated digestive system', 'H. glaberrima fecal content', 'H. glaberrima intestine', 'H. glaberrima intestine (content)'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1182340	Mus musculus	10090	134	WGS	METAGENOMIC		USA:Providence	pubmed_metagenom_b1	40372916	Live bacteria in gut microbiome dictate asthma onset triggered by environmental particles via modulation of DNA methylation in dendritic cells.	10.1016/j.celrep.2025.115684	Cell reports	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	medium	inferred	Paper title explicitly mentions 'gut microbiome'; Host organism is Mus musculus (mouse); library_source is METAGENOMIC; library_strategy is WGS
PRJNA1186832	mouse		112	WGS	METAGENOMIC		China:Hainan province	pubmed_metagenom_b1	40349120	Gut microbiota drives structural variation of exogenous probiotics to enhance colonization.	10.1080/19490976.2025.2503371	Gut microbes	2025.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Isolation source: 'mouse intestine sample1' through 'mouse intestine sample105'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1238482	snake		9	OTHER	METAGENOMIC		missing	pubmed_metagenom_b1	40309103	Characterization and comparison of the fecal bacterial microbiota in Red Back Pine Root Snake (Oligodon formosanus) and Chinese Slug-Eating Snake (Pareas chinensis).	10.3389/fmicb.2025.1575405	Frontiers in microbiology	2025.0	YES								high	explicit	Isolation source: 'feces'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; Paper title explicitly states 'fecal bacterial microbiota'
PRJNA1202651	Mus musculus		72	WGS	METAGENOMIC		USA: Colorado	pubmed_metagenom_b1	40247632	E. coli genetically modified for purine nucleobase release promotes butyrate generation and colonic wound healing during DSS insult.	10.1080/19490976.2025.2490211	Gut microbes	2025.0	YES								medium	inferred	library_source: METAGENOMIC; library_strategy: WGS; Paper title mentions 'colonic wound healing during DSS insult' (DSS is dextran sulfate sodium, a standard colonic inflammation model in mice); host organism is Mus musculus (mouse)
PRJEB60852	Rangifer tarandus platyrhynchus		1	WGS	GENOMIC		Norway	pubmed_metagenom_b1	40241768	Gut microbiota contribute to cold adaptation in mammals-primates and ungulates.	10.1016/j.isci.2025.112245	iScience	2025.0	YES								medium	inferred	Paper title: 'Gut microbiota contribute to cold adaptation in mammals-primates and ungulates'; Host organism: Rangifer tarandus platyrhynchus (reindeer); library_source: GENOMIC; library_strategy: WGS
PRJNA1134918	Bifidobacterium animalis		12	WGS	METAGENOMIC		China:Chongqing	pubmed_metagenom_b1	40205678	Creatine-mediated ferroptosis inhibition is involved in the intestinal radioprotection of daytime-restricted feeding.	10.1080/19490976.2025.2489072	Gut microbes	2025.0	YES								high	explicit	isolation_source: 'stool'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; paper title mentions 'intestinal radioprotection'
PRJNA594263	Rattus norvegicus	10116	18	OTHER	METAGENOMIC		China: Shanghai	pubmed_metagenom_b1	40149936	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	10.3390/biom15030400	Biomolecules	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus	high	explicit	Isolation source: 'feces'; Biome label: 'rat gut metagenome'; ENA study title includes 'rat gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'OTHER' (with paper title indicating shotgun metagenomic analysis)
PRJNA681546			10	WCS	METAGENOMIC			pubmed_metagenom_b1	40149936	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	10.3390/biom15030400	Biomolecules	2025.0	YES								high	explicit	Biome label: 'gut metagenome'; Paper title explicitly states 'gut microbiota'; library_source: 'METAGENOMIC'; library_strategy: 'WCS' (shotgun metagenomic approach)
PRJNA723444	Mice		17	POOLCLONE	METAGENOMIC		China:Hangzhou	pubmed_metagenom_b1	40149936	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	10.3390/biom15030400	Biomolecules	2025.0	YES								high	explicit	Isolation source: 'stool'; Biome label: 'gut metagenome'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'POOLCLONE' (shotgun)
PRJNA1026909	Mus musculus	10090	4	WGS	METAGENOMIC		USA:Raleigh	pubmed_metagenom_b1	40116459	Dietary protein source alters gut microbiota composition and function.	10.1093/ismejo/wraf048	The ISME journal	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label: 'mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1146968	Moschus berezovskii	68408	13	WGS	METAGENOMIC		China:Tibet	pubmed_metagenom_b1	40069605	Gut microbiome reveals the trophic variation and significant adaption of three sympatric forest-dwelling ungulates on the eastern Qinghai-Xizang Plateau.	10.1186/s12866-025-03812-z	BMC microbiology	2025.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Moschidae	Moschus	Moschus berezovskii	high	explicit	Paper title explicitly states 'Gut microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'; host organisms are forest-dwelling ungulates (Capricornis sumatraensis, Cervus albirostris, Moschus berezovskii)
