study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	library_source	data_source	pmid	paper_title	doi	journal	pub_year	first_author	last_author	classification_final	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species_taxonomy	llm_confidence	llm_body_site_signal	llm_evidence
PRJEB29346	Gadus morhua				57	OTHER	METAGENOMIC	pubmed_metagenom_b2	36807409	Co-diversification of an intestinal Mycoplasma and its salmonid host.	10.1038/s41396-023-01379-z	The ISME journal	2023.0	Rasmussen JA	Limborg MT	YES								high	explicit	Paper title: 'Co-diversification of an intestinal Mycoplasma and its salmonid host'; library_source: 'METAGENOMIC'; host organism: Gadus morhua (Atlantic cod, a salmonid fish)
PRJEB59886	Salmo salar				76	WGS	METAGENOMIC	pubmed_metagenom_b2	36807409	Co-diversification of an intestinal Mycoplasma and its salmonid host.	10.1038/s41396-023-01379-z	The ISME journal	2023.0	Rasmussen JA	Limborg MT	YES								medium	inferred	Paper title: 'Co-diversification of an intestinal Mycoplasma and its salmonid host'; library_source: METAGENOMIC; library_strategy: WGS; host organism: Salmo salar (salmon)
PRJNA822929	Bos grunniens	30521		China: Shangri-La	10	POOLCLONE	METAGENOMIC	pubmed_metagenom_b2	36518262	Multi-omics analyses reveal that the gut microbiome and its metabolites promote milk fat synthesis in Zhongdian yak cows.	10.7717/peerj.14444	PeerJ	2022.0	Liu L	Zhang Q	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos grunniens	high	explicit	Biome label: 'bovine gut metagenome'; Paper title states 'gut microbiome'; library_source: 'METAGENOMIC'; library_strategy: 'POOLCLONE' (shotgun approach)
PRJEB40866	Alistipes sp. CU970				5	WGS	GENOMIC	pubmed_metagenom_b2	36513659	Microbiome-mediated fructose depletion restricts murine gut colonization by vancomycin-resistant Enterococcus.	10.1038/s41467-022-35380-5	Nature communications	2022.0	Isaac S	Ubeda C	YES								high	explicit	Isolation source(s): mouse cecum; library_strategy: WGS; library_source: GENOMIC; Paper title explicitly mentions 'murine gut colonization'
PRJNA876956	Nannospalax galili	1026970		Israel: Upper Galilee	12	WGS	METAGENOMIC	pubmed_metagenom_b2	36458196	Host diet shapes functionally differentiated gut microbiomes in sympatric speciation of blind mole rats in Upper Galilee, Israel.	10.3389/fmicb.2022.1062763	Frontiers in microbiology	2022.0	Kuang Z	Li K	YES	Metazoa	Chordata	Mammalia	Rodentia	Spalacidae	Nannospalax	Nannospalax galili	high	explicit	ENA study title: 'gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'Gut sample'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA734720	rats			China:Beijing	79	WGS	METAGENOMIC	pubmed_metagenom_b2	36225905	Dynamics of the gut microbiota in rats after hypobaric hypoxia exposure.	10.7717/peerj.14090	PeerJ	2022.0	Han Y	Zhao X	YES								high	explicit	Isolation source: 'feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title mentions 'gut microbiota in rats'
PRJNA862309	Penaeus vannamei	6689		China:Shenzhen	12	OTHER	METAGENOMIC	pubmed_metagenom_b2	36212851	Integration of metagenomic and metabolomic insights into the effects of microcystin-LR on intestinal microbiota of Litopenaeus vannamei.	10.3389/fmicb.2022.994188	Frontiers in microbiology	2022.0	Duan Y	Li Y	YES	Metazoa	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus vannamei	high	explicit	ENA study title: 'Intestinal microbiota metagenome raw sequences of Penaeus vannamei'; Biome label: 'shrimp gut metagenome'; Isolation source: 'intestine'; library_source: 'METAGENOMIC'
PRJNA681986	Bos taurus	9913		France: SaintGenesChampanelles	70	OTHER	METAGENOMIC	pubmed_metagenom_b2	36155629	A global phylogenomic and metabolic reconstruction of the large intestine bacterial community of domesticated cattle.	10.1186/s40168-022-01357-1	Microbiome	2022.0	Teseo S	Sapountzis P	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	Paper title states 'large intestine bacterial community'; ENA study titles contain 'Fecal'; biome label is 'bovine gut metagenome'; library_source is 'METAGENOMIC'
PRJNA811648	missing			missing	16	WGS	GENOMIC	pubmed_metagenom_b2	36105149	Multi-omics insights reveal the remodeling of gut mycobiome with P. gingivalis.	10.3389/fcimb.2022.937725	Frontiers in cellular and infection microbiology	2022.0	Chen S	Lv W	YES								high	explicit	ENA study title: 'gut microbiota sample'; Biome label: 'gut metagenome'; Sample title: 'gut microbiota sample'; library_source: GENOMIC; library_strategy: WGS
PRJNA669162	Rattus norvegicus				47	WGS	METAGENOMIC	pubmed_metagenom_b2	36085351	Integrated multi-omics reveal important roles of gut contents in intestinal ischemia-reperfusion induced injuries in rats.	10.1038/s42003-022-03887-8	Communications biology	2022.0	Dai D	Chen WH	YES								medium	inferred	Paper title: 'Integrated multi-omics reveal important roles of gut contents in intestinal ischemia-reperfusion induced injuries in rats.' Library_source: METAGENOMIC. Library_strategy: WGS. Host: Rattus norvegicus.
PRJNA734104	Mouse			China:Wuhan	8	WGS	METAGENOMIC	pubmed_metagenom_b2	35967852	Antibiotic-Induced Primary Biles Inhibit SARS-CoV-2 Endoribonuclease Nsp15 Activity in Mouse Gut.	10.3389/fcimb.2022.896504	Frontiers in cellular and infection microbiology	2022.0	Ma Y	Liu Z	YES								high	explicit	Isolation source: 'Feces sample'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
