study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	is_animal	title
PRJNA801645	Sus scrofa	9823		Canada: Quebec	12	WGS	True	Study of the effects of a stabilizer on microbiome analysis
PRJEB47613	Gallus gallus	9031	Caecum content	Spain	47	WGS	True	HoloFood Chicken Caecum+Ileum Metagenome – non-targeted metabolomics batch
PRJDB10675	Homo sapiens	9606		India	53	RNA-Seq	True	International collaborative studies on the prevention, diagnosis, and drug discovery for diarrheal infectious diseases in India
PRJNA835973	rat			Japan: Kagawa Prefecture	19	WGS	True	Lactobacillus rhamnosus Probio-M9 alleviates colitis-associated tumorigenesis via modified gut microbiota and inflammation
PRJEB86258	Gallus gallus	9031	Caecum	Austria	1000	WGS	True	3D'omics: Salmonella challenge chicken trial
PRJNA383926	broiler			China:Beijing	6	WGS	True	Gallus gallus Metagenome
PRJNA433811	Salmo salar	8030		Norway	4	WGS	True	shotgun metagenome sequencing salmo salar gut microbiota
PRJNA589661	Migratory birds: bar-headed geese			China: Qinghai Lake	9	WGS	True	Environmental samples' Metagenome: Water, soil/sand, feces of local ruminants , feces of migratory birds (Qinghai Lake)
PRJNA293646	Bos	9903		China:Beijing	13	WGS	True	Chicken, pig and cattle gut microbiome raw sequence reads
PRJDB4176	Homo sapiens	9606		Japan	645	WGS	True	metagenomic data from human fecal samples
PRJEB77081	Mus musculus			USA;USA:CA:San Diego	283	WGS	True	Role of Bile Salt Hydrolase (BSH) Overexpression in Polycystic Ovary Syndrome (PCOS) - LET COHORT 3
PRJDB36846	Mus sp.	10095		missing: data agreement established pre-2023	36	WGS	True	Methane-oxidizing bacteria regulate intestinal peristalsis and fat metabolism in the gut via reducing methane levels (PRJCA040467)
PRJDB36267	Moschus berezovskii	68408		missing: data agreement established pre-2023	6	WGS	True	Metagenomics of the intestinal microbiota of forest musk deer (PRJCA027468)
PRJEB70517	Mus musculus	10090	UBERON:colon	USA;USA:CO:Boulder	173	WGS	True	Supplementation with the short-chain fatty acid acetate for improving age-associated arterial dysfunction in mice
PRJNA471402	Sus scrofa domesticus	9825		Austria:Tulln	39	WGS	True	PIG GUT RESISTOME
PRJDB16260	Homo sapiens				250	WGS	True	metagenomic data from human fecal samples
PRJNA701781	Sus scrofa	9823		China:Hebei	456	AMPLICON	True	Sus scrofa Raw sequence reads
PRJNA1049315	Sus scrofa	9823		Canada: Quebec	71	AMPLICON	True	Evolution of the porcine microbiome after antibiotic and probiotic treatments
PRJNA1078999	Homo sapiens	9606		China: Guangdong	194	WGS	True	Homo sapiens Raw sequence reads
PRJNA563204	rat			China:Hohhot	192	WGS	True	Metagenome of rat feces
PRJNA757176	Sus scrofa	9823		China:Kunming	12	WGS	True	Sus scrofa Metagenome
PRJNA503784	Gallus gallus	9031		India:Nasik	128	RNA-Seq	True	Host transcriptomics and Gut microbiome analysis in Broilers with contrasting feed conversion ratio (FCR)
PRJNA1030894	Ochotona curzoniae	130825		China:Qinghai	100	WGS	True	the association between Gut Microbiota function and host phenotype of plateau pika
PRJNA831632	Hoolock tianxing	1934190		missing	145	WGS	True	Gut phageome in wild skywalker hoolock gibbons
PRJNA1268041	Sus scrofa	9823		China:Nanning	16	WGS	True	Effects of Lactobacillus plantarum and Saccharomyces cerevisiae, alone or in combination, on growth performance, antioxidant status, immune response, and intestinal health in weaned piglets
PRJNA788462	Sus scrofa	9823		USA:Minnesota	216	WGS	True	Swine Feces Metagenomes
PRJEB26961	Sus scrofa domesticus	9825		Denmark	220	WGS	True	VETII samples
PRJDB5383	Bos taurus	9913		Japan:Kagoshima	3	WGS	True	Identification of a novel bovine enterovirus possessing highly divergent amino acid sequences in capsid protein
PRJNA312048	Sus scrofa	9823		China: Nanchang	6	WGS	True	gut microbe Metagenome
PRJNA1067373	Sus scrofa	9823		China: Nanjing	1	WGS	True	pig gut virome Raw sequence reads
