input_raw,pubmed_url,pmid,pmcid,is_pmc_article,accessions,accession_count,title,journal,pub_year,doi,authors,error_message
40874053,https://pubmed.ncbi.nlm.nih.gov/40874053/,40874053,PMC12378139,true,PRJNA613441,1,Identification of an Aeromonas hydrophila strain as a new mosquito pathogen.,Frontiers in cellular and infection microbiology,2025,10.3389/fcimb.2025.1649545,Wehbe R; Karaki A; Kambris Z,
40865345,https://pubmed.ncbi.nlm.nih.gov/40865345/,40865345,,false,,0,Co-administration of berberine and evodiamine: Mitigating evodiamine-induced hepatotoxicity and potentiating colitis treatment.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2025,10.1016/j.phymed.2025.157185,Tao X; Gao Y; Jin Z; Lu S; Li Z; Guo S; Fan Q; Li J; Qiao C; Lei H; Zhang Z; Zhao C; Wu J,
40854639,https://pubmed.ncbi.nlm.nih.gov/40854639/,40854639,PMC12197973,true,PRJNA1218022,1,Gut microbiome composition and diversity of wild-caught and hatchery-bred milkfish (Chanos chanos) fry.,"Journal, genetic engineering & biotechnology",2025,10.1016/j.jgeb.2025.100520,Silvederio GXL; Javellana TF; Genciana ABN; Fontanilla MAG; Traifalgar RFM; Huervana FH; Del Castillo CS,
40862149,https://pubmed.ncbi.nlm.nih.gov/40862149/,40862149,PMC12370734,true,PRJNA1209333,1,The mitigative effects of Blautia producta 1009924 on DSS-induced intestinal inflammation.,Frontiers in microbiology,2025,10.3389/fmicb.2025.1560441,Chen Y; Ma Y; Leng Y; Li X; Qin S; Li X; Zhang Z; Yu H,
40855911,https://pubmed.ncbi.nlm.nih.gov/40855911/,40855911,,false,,0,Rice protein peptides alleviate lipid accumulation via modulating liver metabolism and remodeling the gut microbiota in HFD-induced mice.,Food & function,2025,10.1039/d5fo01536g,Wei L; Wu H; Wen L; Chen M; Cui B; Wang X; Wu T; Cheng Y,
40849482,https://pubmed.ncbi.nlm.nih.gov/40849482/,40849482,PMC12374297,true,PRJNA845803,1,Impact of diet in shaping gut virome of grain-fed and grass-fed beef cattle revealed by a comparative metagenomic study.,Microbiome,2025,10.1186/s40168-025-02163-1,Zhang Y; Liao YT; Liu F; Li RW; Wu VCH,
40846855,https://pubmed.ncbi.nlm.nih.gov/40846855/,40846855,PMC12373803,true,PRJCA023520,1,Plasticity of the gut microbiome of golden snub-nosed monkeys (Rhinopithecus roxellana) in response to seasonal variation in diet.,NPJ biofilms and microbiomes,2025,10.1038/s41522-025-00806-7,Zhang M; Wang X; Yao H; Shen Y; Teng Y; Garber PA; Pan H; Li M,
40848091,https://pubmed.ncbi.nlm.nih.gov/40848091/,40848091,,false,,0,RNA-viromics unveils diverse RNA viral communities in Large-billed crows and Northern Ravens.,Virus genes,2025,10.1007/s11262-025-02182-y,Dong Y; Fan S; He S; Zhao W; Lancuo Z; Sharshov K; Li Y; Wang W,
40845728,https://pubmed.ncbi.nlm.nih.gov/40845728/,40845728,,false,,0,Probiotic potential of Bacillus velezensis MZ-09: Assessing characteristics and safety through in vitro and in vivo analyses.,Microbiological research,2025,10.1016/j.micres.2025.128321,Wang Z; Xu T; Wang J; Sun G; Chen Q; Sun H; Shi B,
40845582,https://pubmed.ncbi.nlm.nih.gov/40845582/,40845582,,false,,0,Microbial dysbiosis induced in Cyprinus carpio by tetrabromobisphenol A exposure: Mediation through gut barrier impairment and oxidative stress.,"Comparative biochemistry and physiology. Part D, Genomics & proteomics",2025,10.1016/j.cbd.2025.101609,Li Y; Zhang C; Meng Z; You M; Shi H,
40833800,https://pubmed.ncbi.nlm.nih.gov/40833800/,40833800,PMC12367433,true,PRJNA1145617,1,Monensin phase-out in Norwegian turkey production decreases Bifidobacterium spp. abundance while enhancing microbial diversity.,Microbial genomics,2025,10.1099/mgen.0.001466,Kaspersen HP; Estensmo EL; Slettemeås JS; Haverkamp THA; Sjurseth SK; Granstad S; Sekse C; Frederiksen RF; Urdahl AM,
40833797,https://pubmed.ncbi.nlm.nih.gov/40833797/,40833797,PMC12367435,true,PRJNA1211045,1,Freshwater snail faecal metagenomes reveal environmental reservoirs of antimicrobial resistance genes across two continents.,Microbial genomics,2025,10.1099/mgen.0.001480,O'Ferrall AM; Juhász A; Jones S; Makaula P; Namacha G; Ame S; Oguttu D; Foo A; Kayuni SA; LaCourse EJ; Musaya J; Stothard JR; Roberts AP,
40833454,https://pubmed.ncbi.nlm.nih.gov/40833454/,40833454,,false,,0,"Metagenomic profiling of pigeon faecal microbiota: insights into microbial diversity, pathogens, and antimicrobial resistance genes.",Antonie van Leeuwenhoek,2025,10.1007/s10482-025-02148-y,Fong GY; Chan KG; Goh WL; Yap ML,
40832979,https://pubmed.ncbi.nlm.nih.gov/40832979/,40832979,,false,,0,Amelioration of Guishao Yigong Decoction on Colorectal Cancer Through the Integration of 16S rRNA Sequencing and Fecal Metabolomics.,Biomedical chromatography : BMC,2025,10.1002/bmc.70198,Zhou W; Fan Y; Zhang X; Liu M; Jiang S; Shang E; Duan J,
40832881,https://pubmed.ncbi.nlm.nih.gov/40832881/,40832881,,false,,0,Liberation of galactose from lactose by gut microbial β-galactosidase prevents uterine bacterial infection.,The ISME journal,2025,10.1093/ismejo/wraf185,Cai J; He Y; Qu L; Liu J; Xie X; Cao Y,
40832781,https://pubmed.ncbi.nlm.nih.gov/40832781/,40832781,,false,,0,Ameliorating Effect of Bifidobacterium breve CM02-09T on High-Fat Diet-Induced Nonalcoholic Fatty Liver Disease in Mice.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2025,10.1096/fj.202501250RR,Tian Y; Xu Q; Wu Z; Wang H; Hu X; He N; Li H; Liu B; Zhong Y; Zhang H; Wang M; Xiao L; Li S; Zou Y,
40832181,https://pubmed.ncbi.nlm.nih.gov/40832181/,40832181,PMC12363816,true,,0,A prevalent huge phage clade in human and animal gut microbiomes.,bioRxiv : the preprint server for biology,2025,10.1101/2025.08.10.669567,Chen L; Camargo AP; Qin Y; Koonin EV; Wang H; Zou Y; Duan Y; Li H,
40819039,https://pubmed.ncbi.nlm.nih.gov/40819039/,40819039,PMC12357397,true,PRJEB86776,1,Structure-dependent degradation of milk oligosaccharides by newly isolated intestinal commensal bacterial strains from suckling piglets and rabbits.,BMC microbiology,2025,10.1186/s12866-025-04205-y,Rumeau M; Chadi S; Pepke F; Beaumont M; Vicente CM; Juppeau A; Vandecasteele C; Cauquil L; Pascal G; Langella P; Knudsen C; Combes S; Martín R,
40817325,https://pubmed.ncbi.nlm.nih.gov/40817325/,40817325,PMC12357378,true,PRJEB88012,1,Investigating microbial population structure and function in the chicken caeca and large intestine over time using metagenomics.,BMC research notes,2025,10.1186/s13104-025-07441-7,Star-Shirko B; Pangga GM; McKenna A; Corcionivoschi N; Richmond A; Ijaz UZ; Gundogdu O,
40812483,https://pubmed.ncbi.nlm.nih.gov/40812483/,40812483,,false,,0,Age-Related Differences in the Gut Microbiota of Pigs Influence Fat Deposition in the Mouse.,The Journal of nutrition,2025,10.1016/j.tjnut.2025.07.022,Han Q; Xia S; Huang X; He J; Yin Y; Yin J,
40810527,https://pubmed.ncbi.nlm.nih.gov/40810527/,40810527,PMC12502693,true,PRJNA1127692,1,Genetic variability of Shiga toxin-producing Escherichia coli strains isolated from Paraguayan cattle.,Microbiology spectrum,2025,10.1128/spectrum.00596-25,Salinas C; Rodriguez F; Muñoz-Barrera A; Lorenzo Salazar JM; González-Montelongo R; Flores C; Guillén R,
