study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid
PRJNA379709	Mus musculus	10090		USA: Arizona	8	WGS	pubmed	28951889
PRJNA532456	Homo sapiens	9606		USA: Massachussetts	231	RNA-Seq	pubmed	31959971
PRJNA806482	RAT			South Korea	18	WGS	ena_only	
PRJNA342046	Homo sapiens	9606		Colombia: Bogota.	27	WGS	pubmed	33824199
PRJNA555614	Mus musculus	10090		USA: University of Missouri, Columbia	316	AMPLICON	pubmed	32600361
PRJNA563913	Mus musculus	10090		USA: Providence, RI	32	RNA-Seq	pubmed	32723789
PRJNA873123	Gallus gallus	9031		China: Hebei,Zhuozhou	32	WGS	ena_only	
PRJDB9383	Mus musculus	10090		Japan:Tokyo	8	WGS	ena_only	
PRJNA947387	C57BL/6J			missing	27	WGS	ena_only	
PRJNA887424	Bos taurus	9913		USA: Oklahoma	578	AMPLICON	ena_only	
PRJNA1211805					78	WGA	pubmed	41572341
PRJEB43623	air metagenome			Norway	16	WGS	pubmed	39385092
PRJNA820553	Equus asinus			Iran:Zanjan	15	WGS	ena_only	
PRJEB41657	Salmo salar	8030	Distal gut content	Norway	359	WGS	pubmed	40790604
PRJEB70517	Mus musculus	10090	UBERON:colon	USA;USA:CO:Boulder	173	WGS	ena_only	
PRJNA1047964	Ovis aries	9940		China:Qinghai-Tibet Plateau	14	WGS	ena_only	
PRJNA629378	Mus musculus	10090		USA: University of Missouri	359	AMPLICON	pubmed	32928304
PRJNA1061151	Mus musculus	10090		USA: Saint Louis, Missouri	298	AMPLICON	pubmed	39868118
PRJEB58441	feces metagenome			Tanzania	587	WGS	ena_only	
PRJNA385134	Mus musculus	10090		Ireland	26	WGS	pubmed	33218339
PRJEB40719			mouse-gut		31	WGS	ena_only	
PRJNA715658	Gallus gallus	9031		Austria: Lower Austria	751	WGS	pubmed	34484168
PRJNA382943	Mus musculus taxid:10090			USA:Midwest,Columbia, MO	712	AMPLICON	pubmed	29511208
PRJNA1192539	Mus musculus	10090		missing	24	AMPLICON	pubmed	39703374
PRJNA1405988	Sus scrofa	9823		Spain	64	WGS	ena_only	
PRJNA563508	Homo sapiens			China:Qinghai Gengga Lake	99	WGS	pubmed	32122398
PRJNA698773	Cebuella pygmaea	30588		Italy	6	Targeted-Capture	pubmed	33973321
PRJNA595610	feces metagenome			USA	1	WGS	ena_only	
PRJDB1459					1	WGS	ena_only	
PRJNA694463	Mus musculus	10090		USA: University of Missouri	366	AMPLICON	pubmed	36380056
PRJNA317339	Macaca fuscata	9542		USA	97	AMPLICON	pubmed	29621980
PRJNA1193792	mouse			China	8	RAD-Seq	pubmed	41112047
PRJNA475246	Homo sapiens				286	WGS	pubmed	38882494
PRJNA389927	Homo sapiens	9606		Canada:Toronto	181	WGS	pubmed	35440042
PRJDB16260	Homo sapiens				250	WGS	ena_only	
PRJNA782061	Ctenopharyngodon idella	7959		China:Changsha	6	WGS	ena_only	
PRJNA398089	Homo sapiens	9606		USA	1000	WGS	pubmed	39947133
PRJNA1108401	fish gut metagenome			China	1	WGS	ena_only	
PRJNA903767	Ochotona curzoniae	130825		China:Qinghai	34	WGS	ena_only	
