study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	abstract	title	classification
PRJNA379709	Mus musculus	10090.0		USA: Arizona	8	WGS	pubmed	28951889.0	"1. mSystems. 2017 Sep 26;2(5):e00065-17. doi: 10.1128/mSystems.00065-17. 
eCollection 2017 Sep-Oct.

Functional Changes in the Gut Microbiome Contribute to Transforming Growth 
Factor β-Deficient Colon Cancer.

Daniel SG(1), Ball CL(2), Besselsen DG(3), Doetschman T(2)(4)(5), Hurwitz 
BL(5)(6).

Author information:
(1)Department of Molecular and Cellular Biology, University of Arizona, Tucson, 
Arizona, USA.
(2)The University of Arizona Cancer Center, University of Arizona, Tucson, 
Arizona, USA.
(3)University Animal Care, University of Arizona, Tucson, Arizona, USA.
(4)Department of Cellular and Molecular Medicine, University of Arizona, Tucson, 
Arizona, USA.
(5)BIO5 Institute, University of Arizona, Tucson, Arizona, USA.
(6)Department of Agricultural and Biosystems Engineering, University of Arizona, 
Tucson, Arizona, USA.

Colorectal cancer (CRC) is one of the most treatable cancers, with a 5-year 
survival rate of ~64%, yet over 50,000 deaths occur yearly in the United States. 
In 15% of cases, deficiency in mismatch repair leads to null mutations in 
transforming growth factor β (TGF-β) type II receptor, yet genotype alone is not 
responsible for tumorigenesis. Previous work in mice shows that disruptions in 
TGF-β signaling combined with Helicobacter hepaticus cause tumorigenesis, 
indicating a synergistic effect between genotype and microbial environment. 
Here, we examine functional shifts in the gut microbiome in CRC using integrated 
-omics approaches to untangle the role of host genotype, inflammation, and 
microbial ecology. We profile the gut microbiome of 40 mice with/without 
deficiency in TGF-β signaling from a Smad3 (mothers against decapentaplegic 
homolog-3) knockout and with/without inoculation with H. hepaticus. Clear 
functional differences in the microbiome tied to specific bacterial species 
emerge from four pathways related to human colon cancer: lipopolysaccharide 
(LPS) production, polyamine synthesis, butyrate metabolism, and oxidative 
phosphorylation (OXPHOS). Specifically, an increase in Mucispirillum schaedleri 
drives LPS production, which is associated with an inflammatory response. We 
observe a commensurate decrease in butyrate production from Lachnospiraceae 
bacterium A4, which could promote tumor formation. H. hepaticus causes an 
increase in OXPHOS that may increase DNA-damaging free radicals. Finally, 
multiple bacterial species increase polyamines that are associated with colon 
cancer, implicating not just diet but also the microbiome in polyamine levels. 
These insights into cross talk between the microbiome, host genotype, and 
inflammation could promote the development of diagnostics and therapies for CRC. 
IMPORTANCE Most research on the gut microbiome in colon cancer focuses on 
taxonomic changes at the genus level using 16S rRNA gene sequencing. Here, we 
develop a new methodology to integrate DNA and RNA data sets to examine 
functional shifts at the species level that are important to tumor development. 
We uncover several metabolic pathways in the microbiome that, when perturbed by 
host genetics and H. hepaticus inoculation, contribute to colon cancer. The work 
presented here lays a foundation for improved bioinformatics methodologies to 
closely examine the cross talk between specific organisms and the host, 
important for the development of diagnostics and pre/probiotic treatment.

DOI: 10.1128/mSystems.00065-17
PMCID: PMC5613170
PMID: 28951889"	Species and functional composition of gut bacteria from TGF-Beta deficient H. hepaticus positive mice	YES_regex
PRJNA806482	RAT			South Korea	18	WGS	ena_only			Microbiome Analysis in Osteoarthritis Rat Model	YES_regex
PRJNA342046	Homo sapiens	9606.0		Colombia: Bogota.	27	WGS	pubmed	33824199.0	"1. mSystems. 2021 Apr 6;6(2):e01342-20. doi: 10.1128/mSystems.01342-20.

Genomes of Gut Bacteria from Nasonia Wasps Shed Light on Phylosymbiosis and 
Microbe-Assisted Hybrid Breakdown.

Cross KL(1)(2), Leigh BA(1)(2), Hatmaker EA(1)(2), Mikaelyan A(2)(3), Miller 
AK(1)(2), Bordenstein SR(4)(2)(5)(6).

Author information:
(1)Department of Biological Sciences, Vanderbilt University, Nashville, 
Tennessee, USA.
(2)Vanderbilt Microbiome Initiative, Vanderbilt University, Nashville, 
Tennessee, USA.
(3)Department of Entomology and Plant Pathology, North Carolina State 
University, Raleigh, North Carolina, USA.
(4)Department of Biological Sciences, Vanderbilt University, Nashville, 
Tennessee, USA s.bordenstein@vanderbilt.edu.
(5)Department of Pathology, Microbiology and Immunology, Vanderbilt University 
Medical Center, Nashville, Tennessee, USA.
(6)Vanderbilt Institute for Infection, Immunology and Inflammation, Vanderbilt 
University Medical Center, Nashville, Tennessee, USA.

Phylosymbiosis is a cross-system trend whereby microbial community relationships 
recapitulate the host phylogeny. In Nasonia parasitoid wasps, phylosymbiosis 
occurs throughout development, is distinguishable between sexes, and benefits 
host development and survival. Moreover, the microbiome shifts in hybrids as a 
rare Proteus bacterium in the microbiome becomes dominant. The larval hybrids 
then catastrophically succumb to bacterium-assisted lethality and reproductive 
isolation between the species. Two important questions for understanding 
phylosymbiosis and bacterium-assisted lethality in hybrids are (i) do the 
Nasonia bacterial genomes differ from other animal isolates and (ii) are the 
hybrid bacterial genomes the same as those in the parental species? Here, we 
report the cultivation, whole-genome sequencing, and comparative analyses of the 
most abundant gut bacteria in Nasonia larvae, Providencia rettgeri and Proteus 
mirabilis Characterization of new isolates shows Proteus mirabilis forms a more 
robust biofilm than Providencia rettgeri and that, when grown in coculture, 
Proteus mirabilis significantly outcompetes Providencia rettgeri Providencia 
rettgeri genomes from Nasonia are similar to each other and more divergent from 
pathogenic, human associates. Proteus mirabilis from Nasonia vitripennis, 
Nasonia giraulti, and their hybrid offspring are nearly identical and relatively 
distinct from human isolates. These results indicate that members of the larval 
gut microbiome within Nasonia are most similar to each other, and the strain of 
the dominant Proteus mirabilis in hybrids is resident in parental species. 
Holobiont interactions between shared, resident members of the wasp microbiome 
and the host underpin phylosymbiosis and hybrid breakdown.IMPORTANCE Animal and 
plant hosts often establish intimate relationships with their microbiomes. In 
varied environments, closely related host species share more similar 
microbiomes, a pattern termed phylosymbiosis. When phylosymbiosis is 
functionally significant and beneficial, microbial transplants between host 
species and host hybridization can have detrimental consequences on host 
biology. In the Nasonia parasitoid wasp genus, which contains a phylosymbiotic 
gut community, both effects occur and provide evidence for selective pressures 
on the holobiont. Here, we show that bacterial genomes in Nasonia differ from 
other environments and harbor genes with unique functions that may regulate 
phylosymbiotic relationships. Furthermore, the bacteria in hybrids are identical 
to those in parental species, thus supporting a hologenomic tenet that the same 
members of the microbiome and the host genome impact phylosymbiosis, hybrid 
breakdown, and speciation.

Copyright © 2021 Cross et al.

DOI: 10.1128/mSystems.01342-20
PMCID: PMC8547009
PMID: 33824199"	WGS of Providencia rettgeri: carbapenems resistant	YES_regex
PRJNA873123	Gallus gallus	9031.0		China: Hebei,Zhuozhou	32	WGS	ena_only			Enzymatically prepared alginate oligosaccharides improve broiler chicken growth performance by modulating the gut microbiota and growth hormone signals	YES_regex
PRJDB9383	Mus musculus	10090.0		Japan:Tokyo	8	WGS	ena_only			Porphyromonas gingivalis impairs glucose uptake in muscle by altering gut microbiota	YES_regex
PRJNA947387	C57BL/6J			missing	27	WGS	ena_only			Effect of water-soluble polysaccharide from Morchella esculenta on high-fat diet-induced obese mice: Changes in gut microbiota and metabolic functions	YES_regex
PRJNA1211805					78	WGA	pubmed	41572341.0	"1. Porcine Health Manag. 2026 Jan 22;12(1):1. doi: 10.1186/s40813-025-00480-3.

Cross-sectional study characterizing the porcine faecal microbiome in commercial 
farms.

Ornelas MAS(1)(2), Ortiz Sanjuán JM(3), Leonard FC(4), Correia-Gomes C(5), 
Estellé J(6), O'Neill L(3)(4), Manzanilla EG(3)(4).

Author information:
(1)Pig and Poultry Research and Knowledge Transfer Department, Teagasc Animal 
and Grassland Research and Innovation Centre, Moorepark, Fermoy, Cork, P61 C996, 
Ireland. andreorne@gmail.com.
(2)School of Veterinary Medicine, University College Dublin, Belfield, Dublin, 
Ireland. andreorne@gmail.com.
(3)Pig and Poultry Research and Knowledge Transfer Department, Teagasc Animal 
and Grassland Research and Innovation Centre, Moorepark, Fermoy, Cork, P61 C996, 
Ireland.
(4)School of Veterinary Medicine, University College Dublin, Belfield, Dublin, 
Ireland.
(5)Animal Health Ireland, Carrick on Shannon, N41 WN27, Ireland.
(6)GABI, INRA, Université Paris-Saclay, Jouy-en-Josas, 78350, AgroParisTech, 
France.

BACKGROUND: The gut microbiome is regarded as an important source of information 
to better understand and improve health and growth in animals. However, there is 
a knowledge gap concerning the effects of management and health in commercial 
farms on the porcine faecal microbiome. This study aimed to identify the main 
factors associated with differences in microbiota alpha and beta diversity, 
resistome and functional profiles between and within farms and to study the 
associations between microbiome and farm characteristics. The faecal microbiomes 
at four production stages were examined in 18 farms, using shotgun sequencing.
RESULTS: Microbiota richness increased with age while evenness and Simpson 
diversity decreased. Production stage was associated with microbiota 
composition, resistome and functional profiles, and most differences in the 
microbiome were observed between weaned pigs and older animals. Microbiota 
richness, diversity and evenness were higher in farms that purchased feed and in 
those with lower salmonella prevalence. Microbiota composition was associated 
with use of zinc oxide and medicated feed in young pigs and with health, 
biosecurity and feed form in older pigs. Feed form was associated with 
resistome, functional profiles and especially with core microbiota, as dry fed 
pigs showed higher abundances of Streptococcus alactolyticus.
CONCLUSIONS: Consistent patterns of alpha and beta diversity were observed 
across farms with contrasting characteristics, suggesting that the faecal 
microbiota in commercial pig farms is primarily driven by diet and age, rather 
than health. Associations between microbiome, salmonella prevalence and diet 
suggested that diet induced changes in the microbiome may be a determining 
factor in gut colonization and infection by pathogens.
SUPPLEMENTARY INFORMATION: The online version contains supplementary material 
available at 10.1186/s40813-025-00480-3.

DOI: 10.1186/s40813-025-00480-3
PMCID: PMC12828960
PMID: 41572341

Conflict of interest statement: Declarations. Ethics approval and consent to 
participate: All procedures carried out in this study were approved by the 
Teagasc Animal Ethics Committee (Refence 0123– 368). Consent for publication: 
Not applicable. Competing interests: The authors declare no competing interests."	BM-FARM Project	YES_regex
PRJEB43623	air metagenome			Norway	16	WGS	pubmed	39385092.0	"1. BMC Microbiol. 2024 Oct 9;24(1):399. doi: 10.1186/s12866-024-03563-3.

Detection and characterization of Campylobacter in air samples from poultry 
houses using shot-gun metagenomics - a pilot study.

Haverkamp THA(1), Spilsberg B(2), Johannessen GS(2), Torp M(2), Sekse C(2).

Author information:
(1)Norwegian Veterinary Institute, Oslo, Norway. thomas.haverkamp@vetinst.no.
(2)Norwegian Veterinary Institute, Oslo, Norway.

BACKGROUND: Foodborne pathogens such as Campylobacter jejuni are responsible for 
a large proportion of the gastrointestinal infections worldwide associated with 
poultry meat. Campylobacter spp. can be found in the chicken fecal microbiome 
and can contaminate poultry meat during the slaughter process. Commonly used 
sampling methods to detect Campylobacter spp. at poultry farms use fecal 
droppings or boot swabs in combination with conventional culture techniques or 
PCR. In this pilot study, we have used air filtering and filters spiked with 
mock communities in combination with shotgun metagenomics to detect 
Campylobacter and test the applicability of this approach for the detection and 
characterization of foodborne pathogens. To the best of our knowledge is this 
the first study that combines air filtering with shotgun metagenomic sequencing 
for detection and characterization of Campylobacter.
RESULTS: Analysis of air filters spiked with different levels of Campylobacter, 
into a background of mock or poultry house communities, indicated that we could 
detect as little as 200 colony forming units (CFU) Campylobacter per sample 
using our protocols. The results indicate that even with limited sequencing 
effort we could detect Campylobacter in the samples analysed in this study. We 
observed significant amounts of Campylobacter in real-life samples from poultry 
houses using both real-time PCR as well as shotgun metagenomics, suggesting that 
the flocks in both houses were infected with Campylobacter spp. Interestingly, 
in both houses we find diverse microbial communities present in the indoor air 
which reflect the fecal microbiome of poultry. Some of the identified genera 
such as Staphylococcus, Escherichia and Pseudomonas are known to contain 
opportunistic pathogenic species.
CONCLUSIONS: These results show that air sampling of poultry houses in 
combination with shotgun metagenomics can detect and identify Campylobacter spp. 
present at low levels. This is important since early detection of Campylobacter 
enables measures to be put in place to ensure the safety of broiler products, 
animal health and public health. This approach has the potential to detect any 
pathogen present in poultry house air.

© 2024. The Author(s).

DOI: 10.1186/s12866-024-03563-3
PMCID: PMC11462905
PMID: 39385092 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."	Metagenomic shotgun data from poultry houses and mock communties	YES_regex
PRJNA820553	Equus asinus			Iran:Zanjan	15	WGS	ena_only			metagenome of ancient coprolites	YES_regex
PRJEB41657	Salmo salar	8030.0	Distal gut content	Norway	359	WGS	pubmed	40790604.0	"1. Anim Microbiome. 2025 Aug 11;7(1):85. doi: 10.1186/s42523-025-00453-5.

A bacterial and viral genome catalogue from Atlantic salmon highlights diverse 
gut microbiome compositions at pre- and post-smolt life stages.

Kale V(1), Baldi G(2), Beracochea M(1), Clausen C(3), Escobar-Zepeda A(1), 
Leanti La Rosa S(4), Lecaudey LA(5), Li S(3), Mak SST(3), Martin MD(5), Martin 
Bideguren G(3), Pless LA(3), Rasmussen JA(3), Rogers AB(1), Sveier H(6), León 
AV(4)(7), Verissimo A(3), Gilbert MTP(3)(5), Richardson L(8), Limborg MT(9), 
Finn RD(10).

Author information:
(1)European Molecular Biology Laboratory, European Bioinformatics Institute 
(EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK.
(2)European Molecular Biology Laboratory, European Bioinformatics Institute 
(EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK. 
germana.baldi@ebi.ac.uk.
(3)Center for Evolutionary Hologenomics, Globe Institute, University of 
Copenhagen, Copenhagen, Denmark.
(4)Faculty of Chemistry, Biotechnology and Food Science, Norwegian University of 
Life Sciences, Ås, Norway.
(5)Department of Natural History, NTNU University Museum, Norwegian University 
of Science and Technology (NTNU), Trondheim, Norway.
(6)Lerøy Seafood Group ASA, Bergen, 5020, Norway.
(7)Faculty of Biosciences, Norwegian University of Life Sciences, Ås, Norway.
(8)European Molecular Biology Laboratory, European Bioinformatics Institute 
(EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK. lornar@ebi.ac.uk.
(9)Center for Evolutionary Hologenomics, Globe Institute, University of 
Copenhagen, Copenhagen, Denmark. morten.limborg@sund.ku.dk.
(10)European Molecular Biology Laboratory, European Bioinformatics Institute 
(EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK. rdf@ebi.ac.uk.

Resolving the microbiome of the Atlantic salmon Salmo salar gut is challenged by 
a low microbial diversity often dominated by one or two species of bacteria, and 
high levels of host contamination in sequencing data. Nevertheless, existing 
metabarcoding and metagenomic studies consistently resolve a putative beneficial 
Mycoplasma species as the most abundant organism in gut samples. The remaining 
microbiome is heavily influenced by factors such as developmental stage and 
water salinity. We profiled the salmon gut microbiome across 540 salmon samples 
in differing conditions with a view to capture the genomic diversity that can be 
resolved from the salmon gut. The salmon were exposed to 3 different nutritional 
additives: seaweed, blue mussel protein and silaged blue mussel protein, 
including both pre-smolts (30-60 g salmon reared in freshwater) as well as 
post-smolts (300-600 g salmon reared in saltwater). Using genome-resolved 
metagenomics, we generated a catalogue of 11 species-level bacterial MAGs from 
188 input metagenome assembled genomes, with 5 species not found in other 
catalogues. This highlights that our understanding of salmon gut microbial 
diversity is still incomplete. A prevalent bacterial genome annotated as 
Mycoplasmoidaceae is present in adult fish, and a comparison of functions 
revealed significant sub-species variation. Juvenile fish have a different 
microbial diversity, dominated by a species of Pseudomonas aeruginosa. We also 
present the first viral catalogue for salmon including prophage sequences which 
can be linked to the bacterial MAGs.

© 2025. The Author(s).

DOI: 10.1186/s42523-025-00453-5
PMCID: PMC12341145
PMID: 40790604

Conflict of interest statement: Declarations. Conflict of interest: Harald 
Sveier declares a relationship with Lerøy Seafood Group ASA that includes 
employment, which may be considered as a potential Conflict of interest. All 
other authors have declared no Conflict of interest."	HoloFood Salmon Trial A+B Gut Metagenome	YES_regex
