pmid	paper_year	paper_title	n_accessions	n_dated	deposit_year_min	deposit_year_max	gap_from_oldest	gap_from_newest	verdict	accession_years
38882494	2024	Infant age inversely correlates with gut carriage of resistance genes,	14	14	2013	2019	11	5	REUSE	PRJNA273761:2015; PRJNA290380:2015; PRJNA294605:2015; PRJNA301903:2016; PRJNA327106:2016; PRJNA339914:2016; PRJNA352475:2017; PRJNA376566:2017; PRJNA376580:2017; PRJNA384716:2018; PRJNA473126:2018; PRJNA475246:2018; PRJNA489090:2019; PRJNA63661:2013
39947133	2025	A meta-analysis of the gut microbiome in inflammatory bowel disease pa	9	9	2016	2024	9	1	MIXED	PRJEB15371:2016; PRJNA1148165:2024; PRJNA321058:2016; PRJNA354235:2017; PRJNA385949:2017; PRJNA389280:2017; PRJNA398089:2017; PRJNA685168:2021; PRJNA942468:2023
37398234	2023	Changes in the Type 2 diabetes gut mycobiome associate with metformin 	8	8	2013	2024	10	-1	MIXED	PRJEB1786:2013; PRJEB39500:2021; PRJEB4336:2013; PRJEB5224:2014; PRJNA361402:2017; PRJNA422434:2017; PRJNA486795:2018; PRJNA940065:2024
42282812	2026	Discovery of BilV reveals a multienzymatic basis for bilirubin reducti	7	7	2022	2025	4	1	MIXED	PRJEB50625:2022; PRJEB82776:2025; PRJNA1056763:2024; PRJNA1212753:2025; PRJNA1367213:2025; PRJNA795985:2022; PRJNA988023:2023
33868800	2021	Extensive microbial diversity within the chicken gut microbiome reveal	6	6	2016	2019	5	2	MIXED	PRJEB22062:2018; PRJEB33338:2019; PRJNA291299:2016; PRJNA375762:2018; PRJNA417359:2017; PRJNA543206:2019
27388460	2016	Genomic characterization of the uncultured Bacteroidales family S24-7 	5	5	2014	2016	2	0	PRIMARY	PRJEB1220:2014; PRJEB6456:2015; PRJEB7759:2015; PRJNA278393:2015; PRJNA313232:2016
35440042	2022	Diversity and distribution of sulfur metabolic genes in the human gut 	5	5	2014	2017	8	5	REUSE	PRJEB10878:2015; PRJEB12449:2016; PRJEB6070:2014; PRJEB7774:2015; PRJNA389927:2017
32473013	2020	A catalog of microbial genes from the bovine rumen unveils a specializ	4	4	2015	2019	5	1	MIXED	PRJEB10338:2015; PRJEB21624:2017; PRJEB23561:2018; PRJEB31266:2019
39505912	2024	A metagenomic catalogue of the ruminant gut archaeome.	3	3	2020	2021	4	3	REUSE	PRJNA627251:2020; PRJNA631951:2020; PRJNA656389:2021
40149936	2025	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insi	3	3	2020	2021	5	4	REUSE	PRJNA594263:2020; PRJNA681546:2020; PRJNA723444:2021
33144315	2020	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microb	3	3	2016	2019	4	1	MIXED	PRJEB23642:2019; PRJNA316560:2016; PRJNA316570:2016
37208617	2023	Metagenomics of gut microbiome for migratory seagulls in Kunming city 	3	3	2022	2022	1	1	PRIMARY	PRJNA847753:2022; PRJNA848403:2022; PRJNA849401:2022
39902954	2025	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) ex	3	3	2024	2024	1	1	PRIMARY	PRJNA1033630:2024; PRJNA1124990:2024; PRJNA999720:2024
41432437	2026	Metagenomic analysis of fecal microbiomes reveals genetic potential fo	3	3	2016	2025	10	1	MIXED	PRJNA1167890:2025; PRJNA340521:2016; PRJNA752224:2021
