study_accession	n_samples	n_probed	n_recovered	n_tags	probe_exhaustive	status
PRJDB16260	250	40	17	7	False	RECOVERED
PRJEB107655	64	40	39	15	False	RECOVERED
PRJEB21624	43	40	40	3	False	RECOVERED
PRJEB31266	242	40	40	21	False	RECOVERED
PRJEB41323	210	40	40	35	False	RECOVERED
PRJEB47613	47	40	40	38	False	RECOVERED
PRJNA1008639	6	6	5	7	True	RECOVERED
PRJNA1049649	6	6	3	7	True	RECOVERED
PRJNA1067380	3	3	3	6	True	RECOVERED
PRJNA1119029	171	40	31	14	False	RECOVERED
PRJNA1119053	69	40	8	8	False	RECOVERED
PRJNA1199800	30	30	12	7	True	RECOVERED
PRJNA1204506	5	5	1	8	True	RECOVERED
PRJNA1205011	9	9	5	10	True	RECOVERED
PRJNA1205074	36	36	9	9	True	RECOVERED
PRJNA1222153	493	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA1225188	63	40	10	9	False	RECOVERED
PRJNA1227608	395	40	17	23	False	RECOVERED
PRJNA1243555	20	20	13	10	True	RECOVERED
PRJNA1244851	36	36	0	0	True	NOT_IN_ENA_XML
PRJNA1245063	12	12	6	10	True	RECOVERED
PRJNA1245445	144	40	5	15	False	RECOVERED
PRJNA1247471	44	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA1261602	12	12	0	0	True	NOT_IN_ENA_XML
PRJNA1293880	29	29	0	0	True	NOT_IN_ENA_XML
PRJNA1306187	94	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA1320939	111	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA1353630	47	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA1399069	30	30	0	0	True	NOT_IN_ENA_XML
PRJNA1415237	25	25	0	0	True	NOT_IN_ENA_XML
PRJNA1417531	2	2	0	0	True	NOT_IN_ENA_XML
PRJNA1428229	18	18	0	0	True	NOT_IN_ENA_XML
PRJNA1434035	6	6	0	0	True	NOT_IN_ENA_XML
PRJNA1442370	75	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA1477333	48	40	0	0	False	NOT_IN_ENA_XML_PROBED
PRJNA63661	1569	40	40	15	False	RECOVERED
PRJNA688069	33	33	2	8	True	RECOVERED
PRJNA872265	119	40	40	6	False	RECOVERED
PRJNA919082	64	40	12	7	False	RECOVERED
PRJNA953833	369	40	0	0	False	NOT_IN_ENA_XML_PROBED
