study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJNA379709	Mus musculus	10090.0		USA: Arizona	8	WGS	pubmed	28951889.0	28951889							
PRJNA532456	Homo sapiens	9606.0		USA: Massachussetts	231	RNA-Seq	pubmed	31959971.0	31959971							
PRJNA806482	RAT			South Korea	18	WGS	ena_only									
PRJNA342046	Homo sapiens	9606.0		Colombia: Bogota.	27	WGS	pubmed	33824199.0	33824199	Genomes of Gut Bacteria from Nasonia Wasps Shed Light on Phylosymbiosis and Microbe-Assisted Hybrid Breakdown.	Cross KL	Bordenstein SR	Insecta	Phylosymbiosis is a cross-system trend whereby microbial community relationships recapitulate the host phylogeny. In Nasonia parasitoid wasps, phylosymbiosis occurs throughout development, is distinguishable between sexes, and benefits host development and survival. Moreover, the microbiome shifts in hybrids as a rare Proteus bacterium in the microbiome becomes dominant. The larval hybrids then catastrophically succumb to bacterium-assisted lethality and reproductive isolation between the species. Two important questions for understanding phylosymbiosis and bacterium-assisted lethality in hybrids are (i) do the Nasonia bacterial genomes differ from other animal isolates and (ii) are the hybrid bacterial genomes the same as those in the parental species? Here, we report the cultivation, whole-genome sequencing, and comparative analyses of the most abundant gut bacteria in Nasonia larvae, Providencia rettgeri and Proteus mirabilis Characterization of new isolates shows Proteus mirabilis forms a more robust biofilm than Providencia rettgeri and that, when grown in coculture, Proteus mirabilis significantly outcompetes Providencia rettgeri Providencia rettgeri genomes from Nasonia are similar to each other and more divergent from pathogenic, human associates. Proteus mirabilis from Nasonia vitripennis, Nasonia giraulti, and their hybrid offspring are nearly identical and relatively distinct from human isolates. These results indicate that members of the larval gut microbiome within Nasonia are most similar to each other, and the strain of the dominant Proteus mirabilis in hybrids is resident in parental species. Holobiont interactions between shared, resident members of the wasp microbiome and the host underpin phylosymbiosis and hybrid breakdown.IMPORTANCE Animal and plant hosts often establish intimate relationships with their microbiomes. In varied environments, closely related host species share more similar microbiomes, a pattern termed phylosymbiosis. When phylosymbiosis is functionally significant and beneficial, microbial transplants between host species and host hybridization can have detrimental consequences on host biology. In the Nasonia parasitoid wasp genus, which contains a phylosymbiotic gut community, both effects occur and provide evidence for selective pressures on the holobiont. Here, we show that bacterial genomes in Nasonia differ from other environments and harbor genes with unique functions that may regulate phylosymbiotic relationships. Furthermore, the bacteria in hybrids are identical to those in parental species, thus supporting a hologenomic tenet that the same members of the microbiome and the host genome impact phylosymbiosis, hybrid breakdown, and speciation.		mSystems
PRJNA555614	Mus musculus	10090.0		USA: University of Missouri, Columbia	316	AMPLICON	pubmed	32600361.0	32600361							
PRJNA563913	Mus musculus	10090.0		USA: Providence, RI	32	RNA-Seq	pubmed	32723789.0	32723789							
PRJNA873123	Gallus gallus	9031.0		China: Hebei,Zhuozhou	32	WGS	ena_only									
PRJDB9383	Mus musculus	10090.0		Japan:Tokyo	8	WGS	ena_only									
PRJNA947387	C57BL/6J			missing	27	WGS	ena_only									
PRJNA887424	Bos taurus	9913.0		USA: Oklahoma	578	AMPLICON	ena_only									
