study_accession	n_samples_total	n_genomic	pct_genomic	n_metagenomic	deposit_type	genomic_dominant_kind	n_host_genome	n_metagenome_label	n_microbial_isolate	n_unidentified	genomic_strategy_mix	genomic_scientific_names	study_seq_type_mix	example_sample_titles
PRJEB26564	2979	1005	33.7	1974	MIXED	METAGENOME_LABEL	0	1005	0	0	AMPLICON:1005	mouse gut metagenome	METAGENOMIC:1974; GENOMIC:1005	MDZ1.Day11.FiberHiSF.m1.2; MDZ1.Day11.FiberHiSF.m10.1; MDZ1.Day11.FiberHiSF.m11.1 (+1002 more)
PRJEB45273	850	850	100.0	0	GENOMIC_ONLY	HOST_GENOME	850	0	0	0	WGS:850	Gallus gallus	GENOMIC:850	CA01.01F1a_HostG; CA01.03C1a_HostG; CA01.03F1a_HostG (+840 more)
PRJEB9403	2281	785	34.4	1496	MIXED	HOST_GENOME	372	222	0	191	WGS:785	Homo sapiens; gut metagenome; unidentified	METAGENOMIC:1496; GENOMIC:785	3662STDY6446220; 3662STDY6446221; 3662STDY6446222 (+591 more)
PRJEB32631	2387	708	29.7	1679	MIXED	METAGENOME_LABEL	0	708	0	0	WGS:708	gut metagenome	METAGENOMIC:1679; GENOMIC:708	A00009_7; A00130_4; A00133_21 (+705 more)
PRJEB45274	531	531	100.0	0	GENOMIC_ONLY	HOST_GENOME	531	0	0	0	WGS:531	Salmo salar	GENOMIC:531	SA01.01C1a; SA01.02C1a; SA01.03C1a (+528 more)
PRJEB64334	1292	325	25.2	548	MIXED	HOST_GENOME	320	5	0	0	WGS:305; Bisulfite-Seq:20	Salmo salar; metagenome	METAGENOMIC:548; TRANSCRIPTOMIC:419; GENOMIC:325	Negative PCR blank control; Negative extraction blank control; Negative library blank control (+320 more)
PRJNA795985	290	290	100.0	0	GENOMIC_ONLY	METAGENOME_LABEL	0	290	0	0	WGS:290	human gut metagenome	GENOMIC:290	human gut metagenome
PRJNA886985	167	167	100.0	0	GENOMIC_ONLY	METAGENOME_LABEL	0	167	0	0	WGS:167	mouse gut metagenome	GENOMIC:167	Metagenome or environmental sample from mouse gut metagenome
PRJEB58777	396	160	40.4	236	MIXED	METAGENOME_LABEL	0	160	0	0	AMPLICON:160	gut metagenome	METAGENOMIC:236; GENOMIC:160	CO_1; CO_12; CO_14 (+157 more)
PRJNA408020	130	130	100.0	0	GENOMIC_ONLY	METAGENOME_LABEL	0	130	0	0	WGS:130	bird metagenome	GENOMIC:130	Metagenome or environmental sample from bird metagenome
PRJEB58787	204	96	47.1	108	MIXED	METAGENOME_LABEL	0	96	0	0	AMPLICON:96	gut metagenome	METAGENOMIC:108; GENOMIC:96	Inoculum; Inoculum_V1; Inoculum_V2 (+93 more)
PRJEB26512	470	68	14.5	343	MIXED	HOST_GENOME	68	0	0	0	WGS:68	Akkermansia muciniphila; Anaerococcus vaginalis; Anaerostipes caccae; Anaerostipes hadrus; Bacteroides caccae; Bacteroides faecis (+59 more)	METAGENOMIC:343; GENOMIC:68; TRANSCRIPTOMIC:59	Human fecal bacterial isolate annotated genome sequence
