accessions	title	library_strategy	host_class	host_common_name	n_shotgun_gut_samples	doi	manual_note
PRJEB38078; PRJEB40672		WGS:289; AMPLICON:185			283	10.1038/s41564-021-00980-2	
PRJNA947971	Human Disturbance Increases Health Risks to Golden Snub-Nosed Monkeys and the Transfer Risk of Pathogenic Antibiotic-Resistant Bacteria from Golden Snub-Nosed Monkeys to Humans.	AMPLICON:151		Old World monkeys	30	10.3390/ani13193083	community_metagenome
PRJNA1023379	Enrichable consortia of microbial symbionts degrade macroalgal polysaccharides in Kyphosus fish.	AMPLICON:151; WGS:26	Actinopterygii		32	10.1101/2023.11.28.568905	
PRJNA1293113	Dietary macroalgae enhances amino acid metabolism via intestinal Shewanella in grass carp (Ctenopharyngodon idella).	AMPLICON:1045; WGS:20	Actinopterygii	grass carp	20	10.1007/s44307-025-00090-8	
PRJEB71469	Sampling fish gut microbiota - A genome-resolved metagenomic approach.	AMPLICON:16; WGS:15	Actinopterygii	zebrafish	15	10.1002/ece3.70302	Real accession from Data Availability = PRJEB71469 (16 WGS + 16 amplicon, Danio rerio). The earlier PRJNA543612 was a different/cited 16S project.
PRJNA876378	Short-term exposure to enrofloxacin causes hepatic metabolism disorder associated with intestinal flora dysbiosis in adult marine medaka (Oryzias melastigma).	WGS:4	Actinopterygii	Indian medaka	4	10.1016/j.marpolbul.2023.114966	Marine medaka (Oryzias melastigma) gut; PRJNA876378 = 4 WGS intestinal/stool samples, China:Qingdao.
PRJNA1112800	Fish guts microbiome Metagenome (reef fish: yellow tang, triggerfish, hawkfish)	AMPLICON:3	Actinopterygii		3		User-added reef-fish gut shotgun (Yellow tang/Triggerfish/Hawkfish), ~5.3 Gbp/sample; ENA mislabels strategy=AMPLICON/selection=Hybrid Selection but it is shotgun-grade by size.
PRJNA658576	Microbiome Analysis Reveals Diversity and Function of Mollicutes Associated with the Eastern Oyster, Crassostrea virginica.	AMPLICON:236; WGS:13	Bivalvia		13	10.1128/msphere.00227-21	
PRJNA948469	Functional similarity, despite taxonomical divergence in the millipede gut microbiota, points to a common trophic strategy.	AMPLICON:50; WGS:2; RNA-Seq:2	Diplopoda		2	10.1186/s40168-023-01731-7	
PRJDB4366		AMPLICON:21; WGS:2	Holothuroidea	Japanese sea cucumber	2	10.1038/srep21631	
PRJNA1188364	Phylogenetic and functional diversity among Drosophila-associated metagenome-assembled genomes.	WGS:37	Insecta		37	10.1128/msystems.00027-25	WGS Oxford Nanopore; Drosophila/Zaprionus gut. Replaces GCA.
PRJNA961367	Gut microbiomes of cycad-feeding insects tolerant to β-methylamino-L-alanine (BMAA) are rich in siderophore biosynthesis.	WGS:5	Insecta		5	10.1038/s43705-023-00323-8	
PRJEB81711	Metagenome-based identification of functional traits of the black soldier fly gut microbiome associated with larval performance.	AMPLICON:120; WGS:12	Insecta		12	10.1186/s12866-025-04327-3	Real accession from Data Availability = PRJEB81711 (12 WGS, Hermetia illucens + Tenebrio molitor; +120 amplicon). Earlier PRJNA674583 was a cited BSF 16S project.
PRJEB38078; PRJEB40672	Diversity and taxonomic revision of methanogens and other archaea in the intestinal tract of terrestrial arthropods.	WGS:289; AMPLICON:185	Insecta		283	10.3389/fmicb.2023.1281628	
PRJEB37575; PRJEB45685	Plastics shape the black soldier fly larvae gut microbiome and select for biodegrading functions.	WGS:15; RNA-Seq:6	Insecta	black soldier fly	15	10.1186/s40168-023-01649-0	
PRJNA931729	Genomic evidence for the first symbiotic Deferribacterota, a novel gut symbiont from the deep-sea hydrothermal vent shrimp Rimicaris kairei.	WGS:4	Malacostraca		4	10.3389/fmicb.2023.1179935	
PRJEB38078	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microbial Genomes, Biosynthetic Gene Clusters, and Other Genetic Diversity.	WGS:305; RNA-Seq:182	Mammalia		299	10.1128/msystems.01045-20	
PRJNA438833	Gut microbiome variations in Rhinopithecus roxellanae caused by changes in the environment.	AMPLICON:764; WGS:22	Mammalia	domestic cattle	22	10.1186/s12864-023-09142-6	
PRJNA735411	Fecal Metagenomes and Metagenome-Assembled Genomes from the South American Sea Lion (Otaria flavescens) from the Comau Fjord (42°S), Patagonia.	WGS:30	Mammalia	South American sea lion	30	10.1128/mra.00183-23	
CRA023365; PRJCA023520	Plasticity of the gut microbiome of golden snub-nosed monkeys (Rhinopithecus roxellana) in response to seasonal variation in diet.	WGS:85	Mammalia	golden snub-nosed monkey	85	10.1038/s41522-025-00806-7	Golden snub-nosed monkey (Rhinopithecus roxellana) FECES; GSA CRA023365 (under PRJCA023520) = 85 WGS metagenomes, NovaSeq, ~2.9 GB/sample = shotgun. Injected via add_gsa_to_raw.py (synthetic per-sample IDs; real CRR in GSA).
