study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJNA379709	Species and functional composition of gut bacteria from TGF-Beta deficient H. hepaticus positive mice	Raw DNA and RNA sequences from bacterial content of mouse cecum were generated to identify species and functions associated with colorectal cancer.	Mus musculus	ena_host_field	GUT	sample_fields	gut: cecal, gut
PRJNA806482	Microbiome Analysis in Osteoarthritis Rat Model	We investigated the effect and mechanisms of Lactobacillus and butyrate on the development and progression of OA	RAT	ena_host_field	GUT	sample_fields	gut: feces
PRJNA873123	Enzymatically prepared alginate oligosaccharides improve broiler chicken growth performance by modulating the gut microbiota and growth hormone signals	Alginate oligosaccharide (AOS) holds great potential as a novel feed supplement in farm animals. However, the effects of AOS on chicken health and the underlying mechanisms are not fully understood. Here, we cloned and expressed different bacterial alginate lyases in Pichia pastoris GS115 and evaluated the role of the enzymatically prepared AOS in improving chicken health. We found that dietary AOS promoted chicken growth and improved the gut barrier and absorption function. Metagenomic analysis indicated that AOS modulated the chicken gut microbiota structure, function, and microbial interactions and especially promoted the growth of short-chain fatty acid (SCFA)-producing bacteria. Importantly, we demonstrated that AOS can be utilized by Dorea sp. to grow and to produce acetate, which potentially regulates chicken ghrelin and growth-related hormone signals. Overall, for the first time, we established the connections among AOS, chicken gut microbiota/SCFAs, growth hormone signals and chicken growth performance.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJDB9383	Porphyromonas gingivalis impairs glucose uptake in muscle by altering gut microbiota	The aim of present study was to clarify the relationship between periodontal disease and MS. For this purpose, we measured IgG antibody titers to periodontopathic bacteria in MS patients. Based on the results, we then investigated the influence of P.gingivalis infection on glucose metabolism, gut microbiota, steatosis and glucose uptake in mice skeletal muscle. Here we report the metabolic disfunction in skeletal muscle by periodontal bacteria for first report, and suggest a new insight for the influence of periodontal disease in sarcopenia and myopathy.	Mus musculus	ena_host_field	GUT	sample_fields	gut: fecal, gut
PRJNA947387	Effect of water-soluble polysaccharide from Morchella esculenta on high-fat diet-induced obese mice: Changes in gut microbiota and metabolic functions	We identified a regulatory relationship between polysaccharides, gut microbiota, and the liver as a potential mechanism by which polysaccharides can alleviate obesity.	C57BL/6J	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1211805			Sus scrofa	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA820553	metagenome of ancient coprolites	finding the microbiome of ancient feces and reconstructing the surrounding environments.	Equus asinus; bird; herbivore	ena_host_field	GUT	sample_fields	gut: feces
PRJEB41657	HoloFood Salmon Trial A+B Gut Metagenome	Metagenomic raw reads, assemblies, and bins derived from HoloFood salmon gut samples from trial A and B. The samples in this project contributed to the salmon MAG catalogue (project: PRJEB55376 [ERP140265]).	Salmo salar	ena_host_field	GUT	sample_fields	gut: gut
PRJEB70517	Supplementation with the short-chain fatty acid acetate for improving age-associated arterial dysfunction in mice	Our overall purpose is to investigate the efficacy of acetate supplementation for treating age-related arterial dysfunction in mice. We are secondarily interested in the relative efficacy of acetate supplementation compared to consumption of a high-fiber diet. We are interested in determining gut microbiome composition (fecal samples), as acetate supplementation has been shown to increase abundance of acetate-producing bacteria, and high-fiber diets increase abundance of overall SCFA-producing bacteria.	Mus musculus; control sample	ena_host_field	GUT	sample_fields	gut: colon, gut
PRJNA1047964	compost metagenome Raw sequence reads	Study microbial metagenome in compost	Ovis aries	ena_host_field	GUT	sample_fields	gut: feces
PRJEB58441	Hominid host-microbiome co-adaptive response on a leash	Host microbiome interactions are complex and often select for traits that benefit one or both mutualistic partners. Co-adaptive responses emerge from these interactions to increase the fitness of the host, microbiome or both. Here we investigated the evolutionary signature impact on hominidae-microbiome composition and functions that explain host-microbiome co-evolutionary adaptation to different lifestyles (e.g., dietary breakdown, pathogens and antimicrobial resistance). 586 microbiomes from five hominid populations that span different evolutionary steps and lifestyles in Tanzania were characterised using deep-sequencing metagenomics: two urban human populations, hunter-gatherer (Hadza), and two chimpanzee populations. Our results showed host evolutionary trait signatures onto gut microbiome bacteria, viruses, parasites, CAZyme genes, antimicrobial resistance genes and metabolic pathways. Different populations harboured differently abundant bacterial taxa, even at strain phylogenies, and mirrored the host adaptive fitness in the environment to serve the host physiological demands, e.g., pectin degrading bacteria were more abundant in chimpanzee guts compared to others, and fructose fermenting bacteria were more abundant in Hadza guts. Hominid microbiomes also showed varying dietary-derived eukaryotic signals that correspond to the varying bacterial loads to target those dietary intakes (increased fruits and plants in Hadza and chimpanzee guts, respectively). Antimicrobial resistant genes were also more abundant in urban populations where modern medicine (e.g., antibiotics) are more practiced compared to chimpanzees and Hadza populations. Our results show that hominid microbiomes form a tight mutualistic relationship with their hosts that uniformly enhances both partner fitness in nature, and serves the function demands that surfaced during the co-evolutionary course of the association.	Homo sapiens; Pan troglodytes	ena_study_text	GUT	sample_fields	gut: faeces, feces
PRJNA385134	viral metagenome Metagenome	Mouse viral metagenome	Mus musculus	ena_host_field	GUT	sample_fields	gut: feces
PRJEB40719	Crosstalk between Paneth and tuft cells drives dysbiosis and inflammation in the gut mucosa	Gut microbiota imbalance (dysbiosis) is increasingly associated with pathological conditions within and outside of the gastrointestinal tract. Intestinal Paneth cells are considered to be guardians of the gut microbiota but the events linking Paneth cell dysfunction with dysbiosis remain unclear. We report a three-step mechanism for dysbiosis initiation. Initial alterations in Paneth cells, as frequently observed in obese and IBD patients, cause a mild remodeling of microbiota, with amplification of succinate-producing species. SucnR1-dependent activation of epithelial tuft cells triggers a type 2 immune response that, in turn, aggravates the Paneth cell defaults, promoting dysbiosis and chronic inflammation. We thus reveal a novel function of tuft cells in promoting dysbiosis following Paneth cell deficiency, and an unappreciated essential role of Paneth cells in maintaining a balanced microbiota to prevent inappropriate activation of tuft cells and deleterious dysbiosis. This succinate-tuft cell-inflammation circuit may also contribute to the observed patients dysbiosis chronicity.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJNA715658	Genome-resolved metagenomics of the chicken gut microbiome	A total of 751 samples were collected from the gut of male broiler chickens (Ross 308) and investigated through shotgun metagenomic sequencing. Metagenomic assembly and binning was performed to reconstruct 155 metagenomic assembled bacterial genomes with a completeness of at least 80%.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1405988	Gut microbiome in PRRS vaccination and infection	This project involves omics sequencing for understanding the role of the microbiota in porcine reproductive and respiratory syndrome (PRRS) after viral vaccination and infection. Faecal samples were collected at different times before the vaccination, after vaccination and before infection, and after infection. It aims at providing detailed data to understand the role of gut microbiota in inmune response.	Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut
