study_accession,derived_host_species,derivation_source,title,abstract
PRJNA801645,,llm_unknown,Study of the effects of a stabilizer on microbiome analysis,
PRJEB47613,Gallus gallus,regex_title_only_no_abstract,HoloFood Chicken Caecum+Ileum Metagenome – non-targeted metabolomics batch,
PRJDB10675,,llm_unknown,"International collaborative studies on the prevention, diagnosis, and drug discovery for diarrheal infectious diseases in India",
PRJNA835973,Mus musculus,llm,Lactobacillus rhamnosus Probio-M9 alleviates colitis-associated tumorigenesis via modified gut microbiota and inflammation,
PRJEB86258,Gallus gallus,regex_title_only_no_abstract,3D'omics: Salmonella challenge chicken trial,
PRJNA383926,Gallus gallus,regex_title_only_no_abstract,Gallus gallus Metagenome,
PRJNA433811,Salmo salar,regex_title_only_no_abstract,shotgun metagenome sequencing salmo salar gut microbiota,
PRJNA589661,,llm_unknown,"Environmental samples' Metagenome: Water, soil/sand, feces of local ruminants , feces of migratory birds (Qinghai Lake)",
PRJNA293646,Gallus gallus,llm,"Chicken, pig and cattle gut microbiome raw sequence reads",
PRJDB4176,Homo sapiens,regex_title_only_no_abstract,metagenomic data from human fecal samples,
PRJEB77081,,llm_unknown,Role of Bile Salt Hydrolase (BSH) Overexpression in Polycystic Ovary Syndrome (PCOS) - LET COHORT 3,
PRJDB36846,Mus musculus,llm,Methane-oxidizing bacteria regulate intestinal peristalsis and fat metabolism in the gut via reducing methane levels (PRJCA040467),
PRJDB36267,Moschus berezovskii,llm,Metagenomics of the intestinal microbiota of forest musk deer (PRJCA027468),
PRJEB70517,Mus musculus,regex_title_only_no_abstract,Supplementation with the short-chain fatty acid acetate for improving age-associated arterial dysfunction in mice,
PRJNA471402,Sus scrofa,regex_title_only_no_abstract,PIG GUT RESISTOME,
PRJDB16260,Homo sapiens,regex_title_only_no_abstract,metagenomic data from human fecal samples,
PRJNA701781,Sus scrofa,regex_title_only_no_abstract,Sus scrofa Raw sequence reads,
PRJNA1049315,Sus scrofa,regex_title_only_no_abstract,Evolution of the porcine microbiome after antibiotic and probiotic treatments,
PRJNA1078999,Homo sapiens,regex_title_only_no_abstract,Homo sapiens Raw sequence reads,
PRJNA563204,Rattus norvegicus,regex_title_only_no_abstract,Metagenome of rat feces,
PRJNA757176,Sus scrofa,regex_title_only_no_abstract,Sus scrofa Metagenome,
PRJNA503784,Gallus gallus,regex_title_only_no_abstract,Host transcriptomics and Gut microbiome analysis in Broilers with contrasting feed conversion ratio (FCR),
PRJNA1030894,Ochotona curzoniae,regex_title_only_no_abstract,the association between Gut Microbiota function and host phenotype of plateau pika,
PRJNA831632,Hoolock leuconedys,llm,Gut phageome in wild skywalker hoolock gibbons,
PRJNA1268041,Sus scrofa,regex_title_only_no_abstract,"Effects of Lactobacillus plantarum and Saccharomyces cerevisiae, alone or in combination, on growth performance, antioxidant status, immune response, and intestinal health in weaned piglets",
PRJNA788462,Sus scrofa,regex_title_only_no_abstract,Swine Feces Metagenomes,
PRJEB26961,,llm_unknown,VETII samples,
PRJDB5383,Bos taurus,regex_title_only_no_abstract,Identification of a novel bovine enterovirus possessing highly divergent amino acid sequences in capsid protein,
PRJNA312048,,llm_unknown,gut microbe Metagenome,
PRJNA1067373,Sus scrofa,regex_title_only_no_abstract,pig gut virome Raw sequence reads,
PRJNA909453,,llm_unknown,intestinal microbial community diversity,
PRJNA1092107,,llm_unknown,Advancing source tracking: systematic review and source-specific genome database curation of fecally shed prokaryotes,
PRJEB108722,,llm_unknown,Microbiome composition in response to serine/glycine deficiency under high-fat diet,
PRJDB9036,,llm_unknown,Metagenomic survey and whole genome sequencing of antimicrobial resistant bacteria in Japanese hospital sewage,
PRJNA385038,Gallus gallus,regex_title_only_no_abstract,chicken gut metagenome Raw sequence reads,
PRJDB37111,Rattus norvegicus,llm,Intestinal metagenomics and lung 16S rRNA amplicons of three dominant rodents in Guizhou karst ecosystems (PRJCA041566),
PRJNA741980,Sus scrofa,regex_title_only_no_abstract,Comparison of viromes and microbiomes of 14 pig fecal samples,
PRJNA806371,Danio rerio,regex_title_only_no_abstract,Genome-resolved characterization of structure and potential functions of the zebrafish stool microbiome,
PRJDB13214,Homo sapiens,regex_title_only_no_abstract,The characteristics of gut microbiome in COVID-19 patients,
PRJNA903810,Sus scrofa,regex_title_only_no_abstract,Origin of the piglet gut microbiome using strain-resolved longitudinal metagenomics,
PRJNA748109,Gallus gallus,regex_title_only_no_abstract,Broiler chicken microbial metagenome,
PRJNA389749,Sus scrofa,regex_title_only_no_abstract,Caecal Metagenome of Pigs,
PRJNA1099794,,llm_unknown,Metagenomic data of 40 fecal layers at different laying stages,
PRJEB51815,Salmo salar,regex_title_only_no_abstract,HoloFood Salmon Trial C Gut Metagenome,
PRJNA974556,,llm_unknown,Response of the gut microbiota to CR-Hvkp infection,
PRJNA1143568,Gallus gallus,regex_title_only_no_abstract,Healthy chicken microbiome,
PRJNA773861,,llm_unknown,Capreolus pygargus Raw sequence reads,
PRJNA815745,Sus scrofa,regex_title_only_no_abstract,"Compound probiotics relieved constipation, immunitygut microbiome, and blood metabolites of sows in lategestation and lactation",
PRJNA1026631,Homo sapiens,llm,Female Urogenital & Rectal Microbiomes of Individuals with UTI Symptoms Metagenome,
PRJNA340908,Gallus gallus,regex_title_only_no_abstract,Differential fecal microbiota are retained in broiler chicken lines divergently selected for fatness traits,
PRJNA1158959,Sus scrofa,regex_title_only_no_abstract,Global wild boar gut microbiomes,
PRJNA815969,Sus scrofa,regex_title_only_no_abstract,Colonic microbiome of the Korean native black pigs,
PRJDB38623,Pareas menglaensis,llm,Hologenomics data for the Mengla snail-eating snake (Pareas menglaensis) (PRJCA032174),
PRJEB74482,Mus musculus,regex_title_only_no_abstract,Effects of mouse-to-mouse fecal microbiota transplantation on vascular function with age and diet,
PRJNA825732,Anguilla anguilla,llm,Anguilla anguilla gut metagenomes cleaned sequence reads,
PRJNA1047964,,llm_unknown,compost metagenome Raw sequence reads,
PRJNA1393111,Ictalurus punctatus,llm,Channel catfish fish gut content,
PRJDB6640,Felis catus,regex_title_only_no_abstract,Kopi Luwak of Civet cat (Paradoxurus hermaphroditus) feces microbiome,
PRJNA1148062,Sus scrofa,regex_title_only_no_abstract,Porcine intestinal flora,
PRJDB3601,Homo sapiens,llm,Metagenomics of Japanese gut microbiomes,
PRJEB90218,Mus musculus,regex_title_only_no_abstract,MPRINT - Mouse Maternal Antibiotics Transfer,
PRJEB37572,Homo sapiens,llm,Diabetes induced microbiome dysbiosis is associated with therapy resistance in Pancreatic Ductal Adenocarcinoma (PDAC),
PRJNA1141435,Perca flavescens,llm,Microbiome and resistome from yellow perch gut living in different lakes under anthropogenic pressure,
PRJEB23147,Homo sapiens,llm,Human_colon_16S,
PRJEB86259,Meleagris gallopavo,regex_title_only_no_abstract,3D'omics: Histomonas challenge turkey trial,
PRJNA1049198,Gallus gallus,regex_title_only_no_abstract,Metagenomic next-generation sequencing (mNGS) of the chicken ileum and cecum,
PRJNA684050,Propithecus verreauxi,llm,Gut microbiota of frugo-folivorous sifakas across environments,
PRJNA746114,,llm_unknown,lung cancer biomarker Raw sequence reads,
PRJNA734100,Sus scrofa,regex_title_only_no_abstract,studies of metagenome sequencing on swine manure and soil,
PRJNA646934,,llm_unknown,Microbial community diversity of feces from food animals,
PRJNA678365,Homo sapiens,llm,"Human, goat, and chicken gut microbiomes and resistomes in urban and rural Bangladesh",
PRJNA865396,Eriocheir sinensis,llm,Metagenomic analysis of gut microbiota in Eriocheir sinensis,
PRJEB86255,Gallus gallus,regex_title_only_no_abstract,3D'omics: Adenovirus challenge poultry trial,
PRJNA1193782,Sus scrofa,regex_title_only_no_abstract,Metegenomic of the pig,
PRJNA825132,Penaeus vannamei,llm,shrimp gut metagenome Metagenome,
PRJNA726636,Enhydra lutris,llm,Sea otter (Enhydra lutris) Raw sequence reads,
PRJNA1215014,Sus scrofa,regex_title_only_no_abstract,"Piglet colon digesta sample, microbial 16S rRNA sequencing raw data",
PRJNA494387,,llm_unknown,Beyond the tip of the iceberg: illuminating bacterial dark matter through a combination of metagenomics and culturomic approaches,
PRJNA847183,Homo sapiens,regex_title_only_no_abstract,"Application of short-read metagenomics for helminth characterisation in human, livestock and cetacean faecal samples",
PRJNA1108201,Gallus gallus,regex_title_only_no_abstract,Viral metagenome and16s sequencing of foregut and hindgut of yellow-feathered broilers,
PRJDB5860,,llm_unknown,Asian Microbiome Project,
PRJEB31650,,llm_unknown,Metagenomic assessment of the effect of sample processing on different microbiomes,
PRJDB8987,Macaca fuscata,llm,Gut microbe of Japanese macaques in the highland and lowland Yakushima,
PRJNA666163,Gallus gallus,regex_title_only_no_abstract,Chicken Cecal Metagenome Sequencing,
PRJNA821505,Gallus gallus,llm,Short-term feeding of defatted bovine colostrum mitigates inflammation in the gut via changes in metabolites and microbiota in a chicken animal model,
PRJNA1014131,,llm_unknown,Captive breeding Pangolin gut virus,
PRJDB14971,Mus musculus,regex_title_only_no_abstract,Genetic mutation on Escherichia coli genome during adaptation to the murine intestine is optimized to the host's diet.,
PRJDB18384,Homo sapiens,regex_title_only_no_abstract,Gut microbiota of healthy Japanese adult,
PRJNA574295,Sus scrofa,regex_title_only_no_abstract,pig gut metagenome Targeted loci environmental,
PRJDB20772,Mus musculus,regex_title_only_no_abstract,Mouse feces metabolome conventional vs germfree,
PRJNA1375668,,llm_unknown,gut metagenome,
