study_accession	has_paper	host_ena_referenced	host_ena_value	host_title_referenced	host_title_value	host_abstract_referenced	host_abstract_value	is_model_organism	model_organism_disease	human_by_biome_label	host_source_summary	host_source_note	sample_host_pattern	n_host_populated	biome_labels
PRJDB10829	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	112	
PRJDB11394	False	True	Anas sp.	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	4	feces metagenome
PRJDB13194	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJDB13214	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	208	human gut metagenome
PRJDB14208	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	55	
PRJDB14449	False	True	Chimaeridae	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	3	fish gut metagenome
PRJDB14457	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	98	human gut metagenome
PRJDB1459	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJDB1461	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJDB15258	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJDB15798	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	60	human gut metagenome
PRJDB15857	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	80	mouse gut metagenome
PRJDB15956	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	167	human gut metagenome
PRJDB16036	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	13	human gut metagenome
PRJDB16260	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	104	human gut metagenome
PRJDB16312	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	30	human gut metagenome
PRJDB16698	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	6	mouse gut metagenome
PRJDB16790	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	428	human gut metagenome
PRJDB17048	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	71	human gut metagenome
PRJDB17221	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	106	human gut metagenome
PRJDB17226	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	10	mouse gut metagenome
PRJDB17227	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	52	human gut metagenome
PRJDB1800	False	False		False	N/A	False	N/A	False		True	human-by-biome-label	no linked paper -- deposit-only study	NO_HOST_DATA	0	human gut metagenome
PRJDB18316	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	166	human gut metagenome
PRJDB18359	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	45	
PRJDB18384	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	11	human gut metagenome
PRJDB18854	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	112	
PRJDB19991	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	40	human gut metagenome
PRJDB20286	True	True	Locusta migratoria	True	Locusta migratoria	True	Locusta migratoria	False		False	ENA + paper	Gut microbial samples were sequenced directly from Locusta migratoria individuals in different behavioural phases using 16S rRNA and shotgun metagenomic sequencing.	UNIFORM	14	insect gut metagenome
PRJDB20287	True	True	Locusta migratoria	True	Locusta migratoria	True	Locusta migratoria	False		False	ENA + paper	Gut microbial samples were sequenced directly from Locusta migratoria individuals in different behavioural phases using 16S rRNA and shotgun metagenomic sequencing.	UNIFORM	1	insect gut metagenome
PRJDB20360	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	490	
PRJDB20379	True	True	Balaenoptera acutorostrata	True	Physeteroid whales	True	sperm whale (Physeter macrocephalus); pygmy sperm whale (Kogia breviceps)	False		False	ENA + paper	Metagenomic samples were sequenced from the intestinal tracts and colons of eight cetacean species, including two physeteroids.	DIVERSE	63	cetacean metagenome
PRJDB20772	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	8	mouse gut metagenome
PRJDB2552	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJDB2695	False	False		False	N/A	False	N/A	False		True	human-by-biome-label	no linked paper -- deposit-only study	NO_HOST_DATA	0	human gut metagenome
PRJDB31830	False	True	Pseudois nayaur	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	79	gut metagenome
PRJDB32644	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	18	feces metagenome
PRJDB33192	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	51	human gut metagenome
PRJDB34615	False	True	Phascolarctos cinereus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	82	
PRJDB35189	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	88	
PRJDB36191	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	20	gut metagenome
PRJDB36334	False	True	Cervus albirostris	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	114	feces metagenome
PRJDB36502	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	16	
PRJDB36556	False	True	Corvus macrorhynchos	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	7	feces metagenome
PRJDB36557	False	True	Corvus macrorhynchos	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	7	feces metagenome
PRJDB36775	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	118	human gut metagenome
PRJDB36826	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	72	
PRJDB36846	False	True	Mus sp.	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	36	Eukaryota sp.; mouse gut metagenome
PRJDB36905	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	12	dust metagenome; food metagenome; human gut metagenome; pig gut metagenome; soil metagenome; wastewater metagenome
PRJDB36916	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	132	
PRJDB37067	False	True	Ovis ammon	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	12	feces metagenome
PRJDB37496	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	50	human gut metagenome
PRJDB37508	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	470	human gut metagenome
PRJDB38277	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	51	human gut metagenome
PRJDB38518	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	22	
PRJDB38615	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	6	
PRJDB38794	False	True	Apis cerana	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	8	gut metagenome
PRJDB38848	False	True	Corvus dauuricus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	12	feces metagenome
PRJDB38851	False	True	Corvus dauuricus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	12	feces metagenome
