input_raw,pubmed_url,pmid,pmcid,is_pmc_article,accessions,accession_count,title,journal,pub_year,doi,authors,error_message
40074067,https://pubmed.ncbi.nlm.nih.gov/40074067/,40074067,,false,,0,Invasive Salmonella Typhimurium colonizes gallbladder and contributes to gallbladder carcinogenesis through activation of host epigenetic modulator KDM6B.,Cancer letters,2025,10.1016/j.canlet.2025.217621,Pragasam AK; Maurya S; Jain K; Pal S; Raja C; Yadav R; Kumar S; Purohit A; Pradhan D; Kajal K; Talukdar D; Singh AN; Verma J; Jana P; Rawat S; Kshetrapal P; Krishna A; Kumar S; Bansal VK; Das B; Srikanth CV; Garg PK,
40064789,https://pubmed.ncbi.nlm.nih.gov/40064789/,40064789,,false,,0,"Study on the Effect of Bifidobacterium adolescentis CCFM1066 on Exercise Performance, Gut Microbiota, and Its Metabolites in Mice.",Probiotics and antimicrobial proteins,2026,10.1007/s12602-025-10493-7,Wang H; Ma H; Yan H; Pei Z; Zhao J; Zhang H; Zhang Z; Lu W,
40059174,https://pubmed.ncbi.nlm.nih.gov/40059174/,40059174,PMC11892184,true,PRJNA1119029;PRJNA1119053,2,Comprehensive profiling of genomic invertons in defined gut microbial community reveals associations with intestinal colonization and surface adhesion.,Microbiome,2025,10.1186/s40168-025-02052-7,Jin X; Cheng AG; Chanin RB; Yu FB; Dimas A; Jasper M; Weakley A; Yan J; Bhatt AS; Pollard KS,
40058443,https://pubmed.ncbi.nlm.nih.gov/40058443/,40058443,,false,,0,Effective mechanism of polysaccharides from Erxian herbal pair in promoting bone repair in traumatic osteomyelitis by activating osteoblast GPR41 and inhibiting the MEK/ERK/MAPK signalling axis.,International journal of biological macromolecules,2025,10.1016/j.ijbiomac.2025.141858,Zhou Y; Li MY; Li CY; Sheng YJ; Ye QT; Chen RY; Zhou KY; Zhang Y; Shen LF; Shou D,
40047330,https://pubmed.ncbi.nlm.nih.gov/40047330/,40047330,,false,,0,,,,,,Request failed: Failed to fetch
40043390,https://pubmed.ncbi.nlm.nih.gov/40043390/,40043390,,false,,0,,,,,,Request failed: Failed to fetch
40037072,https://pubmed.ncbi.nlm.nih.gov/40037072/,40037072,,false,,0,"Temporal variability in the diversity, function and resistome landscapes in the gut microbiome of broilers.",Ecotoxicology and environmental safety,2025,10.1016/j.ecoenv.2025.117976,Meng JX; Li MH; Wang XY; Li S; Zhang Y; Ni HB; Ma H; Liu R; Yan JC; Li XM; Sun YZ; Yang X; Zhang XX,
40030030,https://pubmed.ncbi.nlm.nih.gov/40030030/,40030030,,false,,0,,,,,,Request failed: Failed to fetch
40028749,https://pubmed.ncbi.nlm.nih.gov/40028749/,40028749,PMC11875071,true,,0,"A Spotlight on Archaea in Humans, Livestock and Poultry: A Review.",Veterinary medicine and science,2025,10.1002/vms3.70263,Salahi A; Abd El-Ghany WA,
40004174,https://pubmed.ncbi.nlm.nih.gov/40004174/,40004174,PMC11855166,true,,0,Microbial Guardians or Foes? Metagenomics Reveal Association of Gut Microbiota in Intestinal Toxicity Caused by DON in Mice.,International journal of molecular sciences,2025,10.3390/ijms26041712,Cui Y; Guan H; Okyere SK; Hua Z; Deng Y; Deng H; Ren Z; Deng J,
40000891,https://pubmed.ncbi.nlm.nih.gov/40000891/,40000891,,false,,0,,,,,,Request failed: Bad control character in string literal in JSON at position 85 (line 1 column 86)
39998226,https://pubmed.ncbi.nlm.nih.gov/39998226/,39998226,PMC11980591,true,ERP124721;PRJEB11419,2,SARS-CoV-2 infectivity can be modulated through bacterial grooming of the glycocalyx.,mBio,2025,10.1128/mbio.04015-24,Martino C; Kellman BP; Sandoval DR; Clausen TM; Cooper R; Benjdia A; Soualmia F; Clark AE; Garretson AF; Marotz CA; Song SJ; Wandro S; Zaramela LS; Salido RA; Zhu Q; Armingol E; Vázquez-Baeza Y; McDonald D; Sorrentino JT; Taylor B; Belda-Ferre P; Das P; Ali F; Liang C; Zhang Y; Schifanella L; Covizzi A; Lai A; Riva A; Basting C; Broedlow CA; Havulinna AS; Jousilahti P; Estaki M; Kosciolek T; Kuplicki R; Victor TA; Paulus MP; Savage KE; Benbow JL; Spielfogel ES; Anderson CAM; Martinez ME; Lacey JV Jr; Huang S; Haiminen N; Parida L; Kim H-C; Gilbert JA; Sweeney DA; Allard SM; Swafford AD; Cheng S; Inouye M; Niiranen T; Jain M; Salomaa V; Zengler K; Klatt NR; Hasty J; Berteau O; Carlin AF; Esko JD; Lewis NE; Knight R,
39990197,https://pubmed.ncbi.nlm.nih.gov/39990197/,39990197,PMC11846933,true,,0,Transcriptome analysis reveals modulations in glycosylation profiles of the mucosal barrier and their potential interaction with gut microbiota in weaned piglets.,Animal nutrition (Zhongguo xu mu shou yi xue hui),2025,10.1016/j.aninu.2024.12.001,Cheng H; Li H; Zhao Y; Yang K; Wang J; Tan B; Ma X,
