input_raw,pubmed_url,pmid,pmcid,is_pmc_article,accessions,accession_count,title,journal,pub_year,doi,authors,error_message
42083207,https://pubmed.ncbi.nlm.nih.gov/42083207/,42083207,,false,,0,Adaptive laboratory evolution of Lactobacillus gasseri-01 toward a safe probiotic for enhanced sulforaphane transformation.,"Food research international (Ottawa, Ont.)",2026,10.1016/j.foodres.2026.119160,Wang L; Shen H; Wang Y; Wu X; Luo L; Li J,
42066496,https://pubmed.ncbi.nlm.nih.gov/42066496/,42066496,,false,,0,Integrative metagenomic and metabolomic profiling identifies faecal biomarkers of prolonged social stress in pigs.,Animal : an international journal of animal bioscience,2026,10.1016/j.animal.2026.101823,Río-López R; Vourlaki IT; Clavell-Sansalvador A; Valdés A; Padilla L; García-Gil LJ; Xifró X; Ballester M; Quintanilla R; Ochoteco-Asensio J; Prenafeta-Boldú FX; Dalmau A; Ramayo-Caldas Y,
42059394,https://pubmed.ncbi.nlm.nih.gov/42059394/,42059394,,false,,0,,,,,,Request failed: Bad control character in string literal in JSON at position 85 (line 1 column 86)
42039826,https://pubmed.ncbi.nlm.nih.gov/42039826/,42039826,,false,,0,,,,,,Request failed: Bad control character in string literal in JSON at position 85 (line 1 column 86)
41994282,https://pubmed.ncbi.nlm.nih.gov/41994282/,41994282,PMC13079344,true,PRJNA1415237,1,Elephant-derived Bacillus licheniformis modulates immune cells shedding light on cancer resistance.,Frontiers in microbiology,2026,10.3389/fmicb.2026.1753410,Wang X; Wei M; Yi Y; An J; Wang J; Zhao R; Su Z; Ji G; Zhang X; Liu X,
41980940,https://pubmed.ncbi.nlm.nih.gov/41980940/,41980940,,false,,0,Tick-vectored mobilization of antibiotic resistance genes: transboundary dissemination across wildlife-livestock-vector-environment interfaces.,NPJ biofilms and microbiomes,2026,10.1038/s41522-026-00986-w,Lu Z; Li R; Zhou K; Li S; Sun S; Liu J; Zhao L; Chen S; Liu K; Yuan X; Shao Z,
41971325,https://pubmed.ncbi.nlm.nih.gov/41971325/,41971325,PMC13061865,true,,0,Multi-omics profiling implicates gut microbiota-sphingolipid interplay in the neuroprotective effects of semaglutide on diabetic cognitive impairment.,Frontiers in microbiology,2026,10.3389/fmicb.2026.1705784,Qi L; Kang H; Li X; Wang L; Lin Y; Zhan M; Zeng F; Xiao Z; Liu X; Chen Z; Liu L,
41951111,https://pubmed.ncbi.nlm.nih.gov/41951111/,41951111,,false,,0,Bilophila wadsworthia is linked to basal ganglia atrophy in the general population.,"Brain, behavior, and immunity",2026,10.1016/j.bbi.2026.106587,Fässler D; Wittfeld K; Frenzel S; Van der Auwera S; Merhjerd A; Gholizadeh M; Simm S; Kaderali L; Franck M; Rühlemann M; Bang C; Franke A; Friedrich N; Nauck M; Lerch MM; Weiss FU; Völker U; Bülow R; Völzke H; Peuker K; Zeissig S; Grabe HJ; Frost F; Hertel J,
41935154,https://pubmed.ncbi.nlm.nih.gov/41935154/,41935154,,false,,0,Weissella as a core member of the Gir cow milk microbiome: functional insights.,Antonie van Leeuwenhoek,2026,10.1007/s10482-026-02293-y,Pandey K; Parmar A; Vilas S; Gosai H; Mistry H; Singh KS; Roy M; Dholpuria S; Patel RB,
41921920,https://pubmed.ncbi.nlm.nih.gov/41921920/,41921920,,false,,0,Virulence and antimicrobial resistance profiling of Klebsiella pneumoniae isolated from foxes in northern China.,Microbial pathogenesis,2026,10.1016/j.micpath.2026.108476,Yang MT; Qin Y; Xu C; Leng X; Li XM; Hou QY; Sun YZ; Zhao Q; Liu S; Tang LY; Ma H; Chen BN; Zhang XX; Li ZY; Ni HB,
