study_accession	fetch_status	n_samples	children
PRJNA379709	OK	8	
PRJNA806482	OK	18	
PRJNA873123	OK	32	
PRJDB9383	OK	8	
PRJNA947387	OK	27	
PRJNA1211805	OK	78	
PRJNA820553	OK	15	
PRJEB41657	OK	359	
PRJEB70517	OK	173	
PRJNA1047964	OK	14	
PRJEB58441	OK	587	
PRJNA385134	OK	26	
PRJEB40719	OK	31	
PRJNA715658	OK	751	
PRJNA1405988	OK	64	
PRJNA595610	OK	1	
PRJDB1459	OK	1	
PRJNA475246	OK	286	
PRJNA389927	OK	181	
PRJDB16260	OK	250	
PRJNA782061	OK	6	
PRJNA398089	OK	2979	
PRJNA1108401	OK	1	
PRJNA903767	OK	34	
PRJNA926485	OK	23	
PRJNA1283350	OK	48	
PRJEB77930	OK	3	
PRJEB50555	OK	537	
PRJNA1227753	OK	9	
PRJNA631951	OK	24	
PRJEB74042	OK	931	
PRJNA660443	OK	70	
PRJNA951897	OK	15	
PRJNA695396	OK	39	
PRJNA822495	OK	3	
PRJNA744213	OK	297	
PRJNA788972	OK	2	
PRJEB39465	OK	938	
PRJNA1125130	OK	20	
PRJNA909453	OK	50	
PRJNA1141391	OK	24	
PRJNA863566	OK	6	
PRJNA1148062	OK	6	
PRJEB29152	OK	47	
PRJNA865396	OK	6	
PRJNA906507	OK	32	
PRJNA1011357	OK	10	
PRJDB6503	OK	30	
PRJNA935053	OK	1	
PRJNA656389	OK	695	
PRJEB58265	OK	110	
PRJEB7774	OK	156	
PRJNA574033	OK	2	
PRJNA564888	OK	13	
PRJNA293646	OK	13	
PRJEB79635	OK	5	
PRJEB70928	OK	129	
PRJNA1046219	OK	8	
PRJEB55711	OK	44	
PRJNA915251	OK	683	
PRJEB5224	OK	260	
PRJEB102170	OK	71	
PRJNA590585	OK	12	
PRJNA728379	OK	14	
PRJNA738554	OK	24	
PRJNA1268041	OK	16	
PRJNA721002	OK	51	
PRJDB36556	OK	7	
PRJNA1060362	OK	1	
PRJDB15857	OK	80	
PRJEB72437	OK	8	
PRJNA1211300	OK	17	
PRJDB39230	OK	32	
PRJNA773596	OK	83	
PRJEB22710	OK	52	
PRJNA601052	OK	130	
PRJEB76409	OK	32	
PRJNA844176	OK	15	
PRJEB26961	OK	220	
PRJEB40990	OK	16	
PRJNA1135945	OK	157	
PRJNA996880	OK	419	
PRJDB15258	OK	4	
PRJEB14215	OK	73	
PRJEB12449	OK	110	
PRJEB51635	OK	148	
PRJNA877780	OK	15	
PRJNA613182	OK	90	
PRJNA1062568	OK	10	
PRJDB36905	OK	42	
PRJNA397112	OK	110	
PRJNA1027632	OK	197	
PRJNA1289129	OK	4	
PRJEB34270	OK	8	
PRJNA770101	OK	71	
PRJNA913183	OK	119	
PRJNA542998	OK	201	
PRJNA599288	OK	12	
PRJEB55713	OK	55	
PRJNA673878	OK	5	
PRJNA847183	OK	24	
PRJNA1217868	OK	24	
PRJNA798875	OK	2	
PRJEB67586	OK	167	
PRJEB101960	OK	107	
