study_accession	n_samples	n_host_populated	pct_host_complete	n_distinct_hosts	distinct_host_list	sample_host_pattern	seq_type_mix	n_distinct_seq_types	has_genomic	n_genomic	host_pattern_confirmed	host_pattern_llm_note
PRJDB10829	112	112	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:112	1	False	0	UNIFORM	
PRJDB11394	4	4	1.0	1	Anas sp.	UNIFORM	METAGENOMIC:4	1	False	0	UNIFORM	
PRJDB13194	4	0	0.0	0		NO_HOST_DATA	METAGENOMIC:4	1	False	0	NO_HOST_DATA	
PRJDB13214	208	208	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:208	1	False	0	UNIFORM	
PRJDB14208	55	55	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:55	1	False	0	UNIFORM	
PRJDB14449	3	3	1.0	1	Chimaeridae	UNIFORM	METAGENOMIC:3	1	False	0	UNIFORM	
PRJDB14457	98	98	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:98	1	False	0	UNIFORM	
PRJDB1459	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJDB1461	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJDB15258	4	0	0.0	0		NO_HOST_DATA	METAGENOMIC:4	1	False	0	NO_HOST_DATA	
PRJDB15798	60	60	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:60	1	False	0	UNIFORM	
PRJDB15857	80	80	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:80	1	False	0	UNIFORM	
PRJDB15956	167	167	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:167	1	False	0	UNIFORM	
PRJDB16036	13	13	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:13	1	False	0	UNIFORM	
PRJDB16260	250	104	0.416	1	Homo sapiens	UNIFORM_WITH_GAPS	METAGENOMIC:250	1	False	0	UNIFORM_WITH_GAPS	
PRJDB16312	30	30	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:30	1	False	0	UNIFORM	
PRJDB16698	6	6	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJDB16790	428	428	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:428	1	False	0	UNIFORM	
PRJDB17048	71	71	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:71	1	False	0	UNIFORM	
PRJDB17221	106	106	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:106	1	False	0	UNIFORM	
PRJDB17226	10	10	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:10	1	False	0	UNIFORM	
PRJDB17227	52	52	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:52	1	False	0	UNIFORM	
PRJDB1800	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJDB18316	166	166	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:166	1	False	0	UNIFORM	
PRJDB18359	45	45	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:45	1	False	0	UNIFORM	
PRJDB18384	11	11	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:11	1	False	0	UNIFORM	
PRJDB18854	112	112	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:112	1	False	0	UNIFORM	
PRJDB19991	40	40	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:40	1	False	0	UNIFORM	
PRJDB20286	14	14	1.0	1	Locusta migratoria	UNIFORM	METAGENOMIC:14	1	False	0	UNIFORM	
PRJDB20287	1	1	1.0	1	Locusta migratoria	UNIFORM	METAGENOMIC:1	1	False	0	UNIFORM	
PRJDB20360	490	490	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:490	1	False	0	UNIFORM	
PRJDB20379	63	63	1.0	8	Balaenoptera acutorostrata; Kogia breviceps; Mesoplodon stejnegeri; Phocoena phocoena; Phocoenoides dalli; Physeter macrocephalus; Sagmatias obliquidens; Ziphius cavirostris	DIVERSE	METAGENOMIC:63	1	False	0	DIVERSE	Eight distinct cetacean species representing genuinely different animals across multiple families and genera.
PRJDB20772	8	8	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJDB2552	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJDB2695	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJDB31830	79	79	1.0	1	Pseudois nayaur	UNIFORM	METAGENOMIC:79	1	False	0	UNIFORM	
PRJDB32644	18	18	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:18	1	False	0	UNIFORM	
PRJDB33192	51	51	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:51	1	False	0	UNIFORM	
PRJDB34615	82	82	1.0	1	Phascolarctos cinereus	UNIFORM	METAGENOMIC:82	1	False	0	UNIFORM	
PRJDB35189	88	88	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:88	1	False	0	UNIFORM	
PRJDB36191	20	20	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:20	1	False	0	UNIFORM	
PRJDB36334	114	114	1.0	3	Capreolus pygargus; Cervus albirostris; Cervus nippon	DIVERSE	METAGENOMIC:114	1	False	0	DIVERSE	Three distinct deer species from different genera and/or species within Cervidae family.
PRJDB36502	16	16	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:16	1	False	0	UNIFORM	
PRJDB36556	7	7	1.0	2	Corvus corax; Corvus macrorhynchos	DIVERSE	METAGENOMIC:7	1	False	0	DIVERSE	Two distinct Corvus species: common raven versus large-billed crow.
PRJDB36557	7	7	1.0	2	Corvus corax; Corvus macrorhynchos	DIVERSE	METAGENOMIC:7	1	False	0	DIVERSE	Two distinct Corvus species: common raven and large-billed crow are genuinely different animals.
PRJDB36775	118	118	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:118	1	False	0	UNIFORM	
PRJDB36826	72	72	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:72	1	False	0	UNIFORM	
PRJDB36846	36	36	1.0	2	Eukaryota sp.; Mus sp.	DIVERSE	METAGENOMIC:27; TRANSCRIPTOMIC:9	2	False	0	UNIFORM	Mus sp. is a genus-level label for the mouse genus, and Eukaryota sp. is an overly general kingdom-level label that contains Mus; both refer to the same mouse study with inconsistent taxonomic precision.
PRJDB36905	42	12	0.286	1	Homo sapiens	UNIFORM_WITH_GAPS	METAGENOMIC:42	1	False	0	UNIFORM_WITH_GAPS	
PRJDB36916	132	132	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:132	1	False	0	UNIFORM	
