study_accession	gut_verdict	clade	host	n_runs	n_gut_samples	n_notgut_samples	n_ambiguous_samples	biome_labels	body_sites	is_multihost_survey	paper_title	abstract	pmid	gut_verdict_final
PRJEB17686	KEEP	Lizards	Aloeides pallida; Aloeides thyra; Anthene sp.;Anthene; Chilades pandava;Luthrodes pandava; Chrysoritis chrysantas; Chrysoritis thysbe; Crudaria wykehami; Durbania amakosa; Eooxylides tharis; Eumaeus sp.;Eumaeus; Feniseca tarquinius; Flos sp.;Flos; Jalmenus daemeli; Jalmenus evagoras; Lachnocnema bibulus; Logania marmorata; Luthrodes pandava; Lycaena; Lycaenidae sp.;Papilionoidea;Lycaenidae; Maculinea alcon alcon;Phengaris alcon;Phengaris alcon alcon; Miletus biggsii; Rapala iarbus; Spalgis epius; Strymon melinus; Surendra vivarna; Thestor yildizae; Trimenia argyroplaga	176	176	0	0	insect gut metagenome		False	Microbial communities of lycaenid butterflies do not correlate with host diet			KEEP
PRJEB25617	KEEP	Turtles and tortoises	Canis lupus familiaris; Cebus; Eunectes; Felis catus; Folivora; Gallus gallus; Homo sapiens; Platyrrhini; Psittacidae; Testudines	4176	550	1638	1988	gut metagenome; human gut metagenome; human nasopharyngeal metagenome; human oral metagenome; human skin metagenome; indoor metagenome; metagenome; oral metagenome; oral-nasopharyngeal metagenome; skin metagenome	UBERON:anus; UBERON:areola; UBERON:arm skin; UBERON:feces; UBERON:foot skin; UBERON:nostril; UBERON:skin; UBERON:skin of arm; UBERON:skin of foot; UBERON:skin of hand; UBERON:skin of head; UBERON:tongue	False	Home chemical and microbial transitions across urbanization			KEEP
PRJEB11419	KEEP	Turtles and tortoises	Canis lupus familiaris; Felis catus; Homo sapiens; Not applicable; Testudines; metagenome	44388	35240	4925	4223	feces metagenome; food metagenome; gut metagenome; human blood metagenome; human eye metagenome; human gut metagenome; human metagenome; human nasopharyngeal metagenome; human oral metagenome; human skin metagenome; human vaginal metagenome; metagenome	Not applicable; UBERON:feces; UBERON:tongue; uberon:feces	False	American Gut Project	"1. Nature. 2022 Jul;607(7917):111-118. doi: 10.1038/s41586-022-04862-3. Epub 2022
 Jun 22.

Biosynthetic potential of the global ocean microbiome.

Paoli L(1), Ruscheweyh HJ(#)(1), Forneris CC(#)(2), Hubrich F(#)(2), Kautsar 
S(3), Bhushan A(2), Lotti A(2), Clayssen Q(1), Salazar G(1), Milanese A(1), 
Carlström CI(1), Papadopoulou C(1), Gehrig D(1), Karasikov M(4)(5)(6), Mustafa 
H(4)(5)(6), Larralde M(7), Carroll LM(7), Sánchez P(8), Zayed AA(9), Cronin 
DR(9), Acinas SG(8), Bork P(7)(10)(11), Bowler C(12)(13), Delmont TO(13)(14), 
Gasol JM(8), Gossert AD(15), Kahles A(4)(5)(6), Sullivan MB(8)(16), Wincker 
P(13)(14), Zeller G(7), Robinson SL(17)(18), Piel J(19), Sunagawa S(20).

Author information:
(1)Department of Biology, Institute of Microbiology and Swiss Institute of 
Bioinformatics, ETH Zurich, Zurich, Switzerland.
(2)Department of Biology, Institute of Microbiology, ETH Zurich, Zurich, 
Switzerland.
(3)Bioinformatics Group, Wageningen University, Wageningen, The Netherlands.
(4)Department of Computer Science, ETH Zurich, Zurich, Switzerland.
(5)Biomedical Informatics Research, University Hospital Zurich, Zurich, 
Switzerland.
(6)Swiss Institute of Bioinformatics, Lausanne, Switzerland.
(7)Structural and Computational Biology Unit, European Molecular Biology 
Laboratory, Heidelberg, Germany.
(8)Department of Marine Biology and Oceanography, Institute of Marine Sciences 
ICM-CSIC, Barcelona, Spain.
(9)Center of Microbiome Science, EMERGE Biology Integration Institute, 
Department of Microbiology, The Ohio State University, Columbus, OH, USA.
(10)Max Delbrück Centre for Molecular Medicine, Berlin, Germany.
(11)Department of Bioinformatics, Biocenter, University of Würzburg, Würzburg, 
Germany.
(12)Institut de Biologie de l'ENS (IBENS), Département de biologie, École 
normale supérieure, CNRS, INSERM, Université PSL, Paris, France.
(13)Research Federation for the Study of Global Ocean Systems Ecology and 
Evolution, FR2022/Tara Oceans GOSEE, Paris, France.
(14)Metabolic Genomics, Genoscope, Institut de Biologie François Jacob, CEA, 
CNRS, Univ Evry, Université Paris Saclay, Evry, France.
(15)Department of Biology, Biomolecular NMR Spectroscopy Platform, ETH Zurich, 
Zurich, Switzerland.
(16)Department of Civil, Environmental and Geodetic Engineering, The Ohio State 
University, Columbus, OH, USA.
(17)Department of Biology, Institute of Microbiology, ETH Zurich, Zurich, 
Switzerland. Serina.Robinson@eawag.ch.
(18)Department of Environmental Microbiology, Swiss Federal Institute of Aquatic 
Science and Technology (Eawag), Dübendorf, Switzerland. 
Serina.Robinson@eawag.ch.
(19)Department of Biology, Institute of Microbiology, ETH Zurich, Zurich, 
Switzerland. jpiel@ethz.ch.
(20)Department of Biology, Institute of Microbiology and Swiss Institute of 
Bioinformatics, ETH Zurich, Zurich, Switzerland. ssunagawa@ethz.ch.
(#)Contributed equally

Comment in
    Nat Rev Genet. 2022 Sep;23(9):523. doi: 10.1038/s41576-022-00520-6.

Natural microbial communities are phylogenetically and metabolically diverse. In 
addition to underexplored organismal groups1, this diversity encompasses a rich 
discovery potential for ecologically and biotechnologically relevant enzymes and 
biochemical compounds2,3. However, studying this diversity to identify genomic 
pathways for the synthesis of such compounds4 and assigning them to their 
respective hosts remains challenging. The biosynthetic potential of 
microorganisms in the open ocean remains largely uncharted owing to limitations 
in the analysis of genome-resolved data at the global scale. Here we 
investigated the diversity and novelty of biosynthetic gene clusters in the 
ocean by integrating around 10,000 microbial genomes from cultivated and single 
cells with more than 25,000 newly reconstructed draft genomes from more than 
1,000 seawater samples. These efforts revealed approximately 40,000 putative 
mostly new biosynthetic gene clusters, several of which were found in previously 
unsuspected phylogenetic groups. Among these groups, we identified a lineage 
rich in biosynthetic gene clusters ('Candidatus Eudoremicrobiaceae') that 
belongs to an uncultivated bacterial phylum and includes some of the most 
biosynthetically diverse microorganisms in this environment. From these, we 
characterized the phospeptin and pythonamide pathways, revealing cases of 
unusual bioactive compound structure and enzymology, respectively. Together, 
this research demonstrates how microbiomics-driven strategies can enable the 
investigation of previously undescribed enzymes and natural products in 
underexplored microbial groups and environments.

© 2022. The Author(s).

DOI: 10.1038/s41586-022-04862-3
PMCID: PMC9259500
PMID: 35732736 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."	35732736	KEEP
PRJNA931656	DROP	Amphibians (all)	Amphibia	352	0	352	0	skin metagenome		False				DROP
PRJNA889361	KEEP	Amphibians (all)	Amphibia	194	97	97	0	gut metagenome; skin metagenome		False	Urbanization increases stochasticity and reduces the ecological stability of microbial communities in amphibian hosts			KEEP
PRJNA999620	NEEDS_ABSTRACT	Frogs and toads	Anura; Scinax	259	0	0	259	amphibian metagenome		False	bacterial 16S sequences from amphibian skin microbiome samples Metagenome			DROP
PRJNA835803	KEEP	Ray-finned fish (broad)	Actinopterygii	1	1	0	0	fish gut metagenome		False	Fish gut microbiota from Gyaros Island, Greece			KEEP
PRJNA1156918	NEEDS_ABSTRACT	Ray-finned fish (broad)	Actinopterygii	1	0	0	1	fish metagenome		False	Pac bio metabarcoding for monitoring genetic diversity in fish populations			MANUAL_REVIEW
PRJNA746569	NEEDS_ABSTRACT	Molluscs (broad)	Annelida; Arthropoda; Bryozoa; Chaetognatha; Chordata; Cnidaria; Ctenophora; Echinodermata; Gastrotricha; Gnathostomulida; Hemichordata; Kinorhyncha; Mollusca; Nematoda; Nemertea; Platyhelminthes; Priapulida; Rotifera; Sipuncula; Tardigrada; Xenacoelomorpha	1400	0	194	1206	invertebrate metagenome; macroalgae metagenome; seawater metagenome; sediment metagenome		False	Microscopic Marine Invertebrate Microbiomes			DROP
PRJNA244498	NEEDS_ABSTRACT	Gastropods (beyond current)		324	0	0	324	Caenorhabditis elegans; Crenosoma vulpis; Heligmonoides; Mastophorus; Mastophorus muris; Nematoda; Nippostrongylus; Parascaris equorum; Strongyloidea; Syphacia; Toxocara cati; Trichinella nativa; Trichinella pseudospiralis; Trichuris		False	Intestinal nematodes identification			KEEP
