run_accession	study_accession	scientific_name	host_scientific_name	host_tax_id	library_source	library_strategy
SRR19739011	PRJNA746569	invertebrate metagenome	Cnidaria	6073	METAGENOMIC	AMPLICON
SRR33039485	PRJNA1248212	soil metagenome	Nematoda	6231	METAGENOMIC	AMPLICON
SRR33215780	PRJNA1252374	Cruznema sp. NTM-2021	Nematoda	6231	METAGENOMIC	AMPLICON
SRR34846782	PRJNA365079	annelid metagenome	Annelida	6340	METAGENOMIC	WGS
SRR34846807	PRJNA365080	annelid metagenome	Annelida	6340	METAGENOMIC	WGS
SRR34846783	PRJNA365078	annelid metagenome	Annelida	6340	METAGENOMIC	WGS
SRR1296389	PRJNA244498	Nematoda		6448	METAGENOMIC	AMPLICON
SRR3498804	PRJNA312520	gut metagenome	Gastropoda	6448	METAGENOMIC	AMPLICON
SRR26675358	PRJNA1036017	insect metagenome	Coleoptera	7041	METAGENOMIC	AMPLICON
SRR30928196	PRJNA1169755	insect metagenome		7041	METAGENOMIC	AMPLICON
SRR19744570	PRJNA849724	insect metagenome	Lepidoptera	7088	METAGENOMIC	AMPLICON
SRR28000469	PRJNA1077668	insect metagenome	Lepidoptera	7088	METAGENOMIC	AMPLICON
SRR15296376	PRJNA750668	gut metagenome	Lepidoptera	7088	METAGENOMIC	AMPLICON
SRR24416562	PRJNA965898	insect metagenome	Lepidoptera	7088	METAGENOMIC	AMPLICON
SRR13825924	PRJNA705894	metagenome	Culicidae	7157	METAGENOMIC	WGS
SRR16203552	PRJNA768434	feces metagenome	Culicidae	7157	METAGENOMIC	AMPLICON
SRR17856739	PRJNA802710	Cell fusing agent virus	Culicidae	7157	METAGENOMIC	WGS
SRR31439580	PRJNA1187880	mosquito metagenome	Culicidae	7157	METAGENOMIC	AMPLICON
SRR33037373	PRJNA1248132	mosquito metagenome	Culicidae	7157	METAGENOMIC	AMPLICON
SRR19118083	PRJNA835803	fish gut metagenome	Actinopterygii	7898	METAGENOMIC	AMPLICON
SRR30573970	PRJNA1156918	fish metagenome	Actinopterygii	7898	METAGENOMIC	AMPLICON
SRR21859827	PRJNA889361	gut metagenome	Amphibia	8292	METAGENOMIC	AMPLICON
SRR23341644	PRJNA931656	skin metagenome	Amphibia	8292	METAGENOMIC	AMPLICON
SRR25730476	PRJNA999620	amphibian metagenome	Anura	8342	METAGENOMIC	AMPLICON
ERR2403608	PRJEB25617	skin metagenome	Testudines	8459	METAGENOMIC	AMPLICON
ERR5328835	PRJEB11419	gut metagenome	Testudines	8459	METAGENOMIC	AMPLICON
SRR10448412	PRJNA464362	feces metagenome	Chiroptera	9397	METAGENOMIC	AMPLICON
SRR12179521	PRJNA565775	feces metagenome	Chiroptera	9397	METAGENOMIC	OTHER
SRR8654771	PRJNA525109	gut metagenome	Chiroptera	9397	METAGENOMIC	AMPLICON
SRR33769948	PRJNA1269778	bat gut metagenome	Chiroptera	9397	METAGENOMIC	WGS
SRR3672947	PRJNA325503	gut metagenome	Chiroptera	9397	METAGENOMIC	AMPLICON
SRR5351759	PRJNA379515	bat metagenome	Chiroptera	9397	METAGENOMIC	WGS
ERR1462849	PRJEB14489	bat metagenome	Chiroptera	9397	METAGENOMIC	OTHER
SRR408750	PRJNA84289	uncultured bacterium	Chiroptera	9397	METAGENOMIC	AMPLICON
SRR7127579	PRJNA464356	feces metagenome	Chiroptera	9397	METAGENOMIC	AMPLICON
SRR975462	PRJNA218570	gut metagenome	Chiroptera	9397	METAGENOMIC	OTHER
ERR3943043	PRJEB36857	human skin metagenome	Homo sapiens;Cetacea	9721	METAGENOMIC	AMPLICON
ERR1720524	PRJEB17686	insect gut metagenome	Lycaenidae sp.;Papilionoidea;Lycaenidae	37572;27544	METAGENOMIC	OTHER
SRR13255086	PRJNA685292	synthetic metagenome		2081351	METAGENOMIC	AMPLICON
